one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=1 ev=SKIP      val_us=29566240 refBig_us=0
seq=2 ev=SKIP      val_us=5616 refBig_us=5616
seq=3 ev=REJECTED  val_us=29582544 refBig_us=7008
seq=4 ev=SYNCCAND  val_us=85360 refBig_us=8752
seq=5 ev=SYNCCAND  val_us=7792 refBig_us=8624
seq=6 ev=SYNCCAND  val_us=24400 refBig_us=10768
seq=7 ev=SKIP      val_us=3168 refBig_us=10608
seq=8 ev=SYNCCAND  val_us=49952 refBig_us=13248
seq=9 ev=SYNCCAND  val_us=9296 refBig_us=13056
seq=10 ev=SYNCCAND  val_us=92000 refBig_us=16320
seq=11 ev=SYNCCAND  val_us=45312 refBig_us=20400
seq=12 ev=SKIP      val_us=8304 refBig_us=20096
seq=13 ev=SYNCCAND  val_us=98656 refBig_us=25120
seq=14 ev=SYNCCAND  val_us=43328 refBig_us=31392
seq=15 ev=SKIP      val_us=8480 refBig_us=30912
seq=16 ev=SYNCCAND  val_us=95536 refBig_us=38640
seq=17 ev=SYNCCAND  val_us=39600 refBig_us=39600
seq=18 ev=SKIP      val_us=10624 refBig_us=38992
seq=19 ev=SYNCCAND  val_us=97216 refBig_us=48736
seq=20 ev=SYNCCAND  val_us=37888 refBig_us=47984
seq=21 ev=SKIP      val_us=10720 refBig_us=47248
seq=22 ev=SYNCCAND  val_us=135664 refBig_us=59056
seq=23 ev=SKIP      val_us=7824 refBig_us=58144
seq=24 ev=SYNCCAND  val_us=92304 refBig_us=72672
seq=25 ev=SKIP      val_us=40656 refBig_us=71552
seq=26 ev=SKIP      val_us=8368 refBig_us=70448
seq=27 ev=SYNCCAND  val_us=133824 refBig_us=84800
seq=28 ev=SKIP      val_us=39712 refBig_us=83488
seq=29 ev=SKIP      val_us=8592 refBig_us=82192
seq=30 ev=SYNCFIRST val_us=137168 refBig_us=88864
seq=31 ev=SKIP      val_us=36976 refBig_us=87488
seq=32 ev=SKIP      val_us=6880 refBig_us=86128
seq=33 ev=FIRED     val_us=128768 refBig_us=84784 period_us=136896 rpm=438 resid_us=-8400 edgeToSpark_us=119776
seq=34 ev=SKIP      val_us=40832 refBig_us=83472
seq=35 ev=SKIP      val_us=8304 refBig_us=82176
seq=36 ev=FIRED     val_us=168608 refBig_us=102720 period_us=137872 rpm=435 resid_us=31712 edgeToSpark_us=120624
seq=37 ev=SKIP      val_us=7952 refBig_us=101120
seq=38 ev=FIRED     val_us=162496 refBig_us=126400 period_us=138640 rpm=432 resid_us=24624 edgeToSpark_us=121296
seq=39 ev=SKIP      val_us=7696 refBig_us=124432
seq=40 ev=FIRED     val_us=154608 refBig_us=125360 period_us=139136 rpm=431 resid_us=15968 edgeToSpark_us=121744
seq=41 ev=SKIP      val_us=8128 refBig_us=123408
seq=42 ev=FIRED     val_us=108768 refBig_us=121488 period_us=138176 rpm=434 resid_us=-30368 edgeToSpark_us=120896
seq=43 ev=SKIP      val_us=40928 refBig_us=119600
seq=44 ev=SKIP      val_us=7600 refBig_us=117744
seq=45 ev=FIRED     val_us=109936 refBig_us=115920 period_us=137280 rpm=437 resid_us=-28240 edgeToSpark_us=120112
seq=46 ev=SKIP      val_us=40112 refBig_us=114112
seq=47 ev=SKIP      val_us=8128 refBig_us=112336
seq=48 ev=FIRED     val_us=110800 refBig_us=110592 period_us=136448 rpm=439 resid_us=-26480 edgeToSpark_us=119392
seq=49 ev=SKIP      val_us=40032 refBig_us=108864
seq=50 ev=SKIP      val_us=7952 refBig_us=107168
seq=51 ev=FIRED     val_us=111008 refBig_us=105504 period_us=135648 rpm=442 resid_us=-25440 edgeToSpark_us=118688
seq=52 ev=SKIP      val_us=3024 refBig_us=103856
seq=53 ev=SKIP      val_us=38816 refBig_us=102240
seq=54 ev=SKIP      val_us=7680 refBig_us=100656
seq=55 ev=FIRED     val_us=113104 refBig_us=99088 period_us=134928 rpm=444 resid_us=-22544 edgeToSpark_us=118048
seq=56 ev=SKIP      val_us=39296 refBig_us=97552
seq=57 ev=SKIP      val_us=11296 refBig_us=96032
seq=58 ev=FIRED     val_us=116720 refBig_us=94544 period_us=134352 rpm=446 resid_us=-18208 edgeToSpark_us=117552
seq=59 ev=SKIP      val_us=3856 refBig_us=93072
seq=60 ev=SKIP      val_us=34896 refBig_us=91632
seq=61 ev=SKIP      val_us=12272 refBig_us=90208
WATCHDOG: MAX_DWELL exceeded, forced coil LOW
seq=62 ev=FIRED     val_us=123904 refBig_us=88800 period_us=134016 rpm=447 resid_us=-10448 edgeToSpark_us=117264
seq=63 ev=SKIP      val_us=39024 refBig_us=87424
seq=64 ev=SKIP      val_us=8256 refBig_us=86064
seq=65 ev=FIRED     val_us=125040 refBig_us=86896 period_us=133728 rpm=448 resid_us=-8976 edgeToSpark_us=117008
seq=66 ev=SKIP      val_us=41008 refBig_us=85552
seq=67 ev=SKIP      val_us=8064 refBig_us=84224
seq=68 ev=FIRED     val_us=126720 refBig_us=85488 period_us=133504 rpm=449 resid_us=-7008 edgeToSpark_us=116816
seq=69 ev=SKIP      val_us=42400 refBig_us=84160
seq=70 ev=SKIP      val_us=8032 refBig_us=82848
