PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
1.000,0.000,1.000,0.000,1.000,0.000,89834.227,52.012,89834.227
0.000,0.000,1.000,0.000,1.000,0.000,89834.703,0.480,89834.703
1.000,0.000,1.000,0.000,1.000,0.000,89886.703,52.000,89886.703
0.000,0.000,1.000,0.000,1.000,0.000,89887.188,0.480,89887.188
1.000,0.000,1.000,0.000,1.000,0.000,89939.313,52.128,89939.313
0.000,0.000,1.000,0.000,1.000,0.000,89940.258,0.944,89940.258
1.000,0.000,1.000,0.000,1.000,0.000,89991.922,51.664,89991.922
0.000,0.000,1.000,0.000,1.000,0.000,89992.414,0.492,89992.414
1.000,0.000,1.000,0.000,1.000,0.000,90044.523,52.112,90044.523
0.000,0.000,1.000,0.000,1.000,0.000,90045.008,0.480,90045.008
1.000,0.000,1.000,0.000,1.000,0.000,90097.250,52.244,90097.250
0.000,0.000,1.000,0.000,1.000,0.000,90097.719,0.468,90097.719
1.000,0.000,1.000,0.000,1.000,0.000,90149.977,52.260,90149.977
0.000,0.000,1.000,0.000,1.000,0.000,90150.445,0.472,90150.445
1.000,0.000,1.000,0.000,1.000,0.000,90202.695,52.248,90202.695
0.000,0.000,1.000,0.000,1.000,0.000,90203.172,0.476,90203.172
1.000,0.000,1.000,0.000,1.000,0.000,90255.539,52.368,90255.539
0.000,0.000,1.000,0.000,1.000,0.000,90256.031,0.488,90256.031
1.000,0.000,1.000,0.000,1.000,0.000,90308.375,52.344,90308.375
0.000,0.000,1.000,0.000,1.000,0.000,90308.844,0.472,90308.844
1.000,0.000,1.000,0.000,1.000,0.000,90361.219,52.376,90361.219
0.000,0.000,1.000,0.000,1.000,0.000,90361.688,0.468,90361.688
1.000,0.000,1.000,0.000,1.000,0.000,90414.211,52.520,90414.211
0.000,0.000,1.000,0.000,1.000,0.000,90414.688,0.480,90414.688
1.000,0.000,1.000,0.000,1.000,0.000,90467.195,52.504,90467.195
0.000,0.000,1.000,0.000,1.000,0.000,90467.672,0.480,90467.672
1.000,0.000,1.000,0.000,1.000,0.000,90520.188,52.512,90520.188
0.000,0.000,1.000,0.000,1.000,0.000,90520.664,0.480,90520.664
1.000,0.000,1.000,0.000,1.000,0.000,90573.305,52.640,90573.305
0.000,0.000,1.000,0.000,1.000,0.000,90573.828,0.528,90573.828
1.000,0.000,1.000,0.000,1.000,0.000,90626.422,52.588,90626.422
0.000,0.000,1.000,0.000,1.000,0.000,90626.906,0.484,90626.906
1.000,0.000,1.000,0.000,1.000,0.000,90679.547,52.644,90679.547
0.000,0.000,1.000,0.000,1.000,0.000,90680.031,0.480,90680.031
