[COM9] WATCHDOG: STALL gap_us=3000012
[COM10] WATCHDOG: STALL gap_us=3000012
[COM9] seq=1 ev=SKIP      val_us=22664976 refBig_us=0
[COM10] seq=1 ev=SKIP      val_us=22666416 refBig_us=0
[COM9] seq=2 ev=SKIP      val_us=5088 refBig_us=5088
[COM10] seq=2 ev=SKIP      val_us=9264 refBig_us=9264
[COM9] seq=3 ev=REJECTED  val_us=22742608 refBig_us=6352
[COM10] seq=3 ev=REJECTED  val_us=22765072 refBig_us=11568
[COM10] seq=4 ev=SYNCCAND  val_us=15152 refBig_us=14448
[COM10] seq=5 ev=SYNCCAND  val_us=40880 refBig_us=18048
[COM10] seq=6 ev=SYNCCAND  val_us=23440 refBig_us=22560
[COM9] seq=4 ev=SYNCCAND  val_us=106720 refBig_us=7936
[COM10] seq=7 ev=SKIP      val_us=12112 refBig_us=22208
[COM9] seq=5 ev=SKIP      val_us=3776 refBig_us=7824
[COM9] seq=6 ev=SYNCCAND  val_us=37312 refBig_us=9776
[COM9] seq=7 ev=SYNCFIRST val_us=28144 refBig_us=12208
[COM10] seq=8 ev=SYNCCAND  val_us=103888 refBig_us=27760
[COM10] seq=9 ev=SYNCCAND  val_us=35424 refBig_us=34688
[COM9] seq=8 ev=RELOCK    val_us=93184 refBig_us=15248
[COM10] seq=10 ev=SYNCCAND  val_us=22864 refBig_us=34160
[COM9] seq=9 ev=SKIP      val_us=5808 refBig_us=15024
[COM10] seq=11 ev=SKIP      val_us=9360 refBig_us=33632
[COM9] seq=10 ev=SYNCCAND  val_us=37728 refBig_us=18768
[COM9] seq=11 ev=SKIP      val_us=2544 refBig_us=18480
[COM9] seq=12 ev=SYNCCAND  val_us=26256 refBig_us=23088
[COM10] seq=12 ev=SYNCCAND  val_us=101200 refBig_us=42032
[COM10] seq=13 ev=SYNCCAND  val_us=32848 refBig_us=41376
[COM10] seq=14 ev=SKIP      val_us=19904 refBig_us=40736
[COM9] seq=13 ev=SYNCCAND  val_us=94160 refBig_us=28848
[COM9] seq=14 ev=SKIP      val_us=4544 refBig_us=28400
[COM10] seq=15 ev=SKIP      val_us=13440 refBig_us=40112
[COM9] seq=15 ev=SYNCCAND  val_us=62192 refBig_us=35488
[COM10] seq=16 ev=SYNCCAND  val_us=119840 refBig_us=50128
[COM10] seq=17 ev=SYNCCAND  val_us=37264 refBig_us=49360
[COM10] seq=18 ev=SKIP      val_us=22880 refBig_us=48592
[COM9] seq=16 ev=SYNCCAND  val_us=97056 refBig_us=44352
[COM9] seq=17 ev=SKIP      val_us=4240 refBig_us=43664
[COM10] seq=19 ev=SKIP      val_us=11632 refBig_us=47840
[COM9] seq=18 ev=SYNCCAND  val_us=62512 refBig_us=54576
[COM10] seq=20 ev=SYNCCAND  val_us=121008 refBig_us=59792
[COM10] seq=21 ev=SYNCCAND  val_us=37568 refBig_us=58864
[COM10] seq=22 ev=SKIP      val_us=22960 refBig_us=57952
[COM9] seq=19 ev=SYNCCAND  val_us=97360 refBig_us=68208
[COM10] seq=23 ev=SKIP      val_us=10272 refBig_us=57056
[COM9] seq=20 ev=SYNCCAND  val_us=43520 refBig_us=67152
[COM9] seq=21 ev=SKIP      val_us=17200 refBig_us=66112
[COM10] seq=24 ev=SYNCCAND  val_us=157584 refBig_us=71312
[COM9] seq=22 ev=SYNCCAND  val_us=107872 refBig_us=82640
[COM10] seq=25 ev=SKIP      val_us=21296 refBig_us=70208
[COM9] seq=23 ev=SKIP      val_us=3664 refBig_us=81360
[COM9] seq=24 ev=SKIP      val_us=4592 refBig_us=80096
[COM10] seq=26 ev=SKIP      val_us=11248 refBig_us=69120
[COM9] seq=25 ev=SYNCCAND  val_us=64800 refBig_us=78848
[COM10] seq=27 ev=SYNCFIRST val_us=123312 refBig_us=86400
[COM10] seq=28 ev=SKIP      val_us=35264 refBig_us=85056
[COM10] seq=29 ev=SKIP      val_us=17824 refBig_us=83728
[COM9] seq=26 ev=SYNCCAND  val_us=93184 refBig_us=93184
[COM9] seq=27 ev=SKIP      val_us=5120 refBig_us=91728
[COM10] seq=30 ev=SKIP      val_us=13936 refBig_us=82432
[COM9] seq=28 ev=SYNCCAND  val_us=67712 refBig_us=90304
[COM10] seq=31 ev=FIRED     val_us=159472 refBig_us=92448 period_us=124432 rpm=482 resid_us=36160 edgeToSpark_us=135104
[COM10] seq=32 ev=SKIP      val_us=33808 refBig_us=91008
[COM10] seq=33 ev=SKIP      val_us=21104 refBig_us=89600
