[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM11] cyl=1 seq=1 ev=SKIP      val_us=13789984 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=13791792 refBig_us=0
[COM11] cyl=1 seq=2 ev=SKIP      val_us=6016 refBig_us=6016
[COM12] cyl=2 seq=2 ev=SKIP      val_us=7936 refBig_us=7936
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=13806784 refBig_us=7520
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=13867824 refBig_us=9920
[COM11] cyl=1 seq=4 ev=SYNCCAND  val_us=101184 refBig_us=9392
[COM11] cyl=1 seq=5 ev=SYNCCAND  val_us=35888 refBig_us=11728
[COM11] cyl=1 seq=6 ev=SYNCCAND  val_us=23392 refBig_us=14656
[COM12] cyl=2 seq=4 ev=SYNCCAND  val_us=101344 refBig_us=12400
[COM12] cyl=2 seq=5 ev=SKIP      val_us=3760 refBig_us=12208
[COM11] cyl=1 seq=7 ev=SYNCCAND  val_us=12480 refBig_us=14432
[COM12] cyl=2 seq=6 ev=SYNCCAND  val_us=40656 refBig_us=15248
[COM12] cyl=2 seq=7 ev=SYNCCAND  val_us=23536 refBig_us=19056
[COM11] cyl=1 seq=8 ev=SYNCCAND  val_us=91344 refBig_us=18032
[COM11] cyl=1 seq=9 ev=SYNCCAND  val_us=35456 refBig_us=22528
[COM12] cyl=2 seq=8 ev=SYNCCAND  val_us=94096 refBig_us=23808
[COM11] cyl=1 seq=10 ev=SYNCCAND  val_us=22800 refBig_us=22800
[COM11] cyl=1 seq=11 ev=SKIP      val_us=9920 refBig_us=22448
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=66368 refBig_us=29760
[COM11] cyl=1 seq=12 ev=SYNCCAND  val_us=101888 refBig_us=28048
[COM11] cyl=1 seq=13 ev=SYNCCAND  val_us=34848 refBig_us=34848
[COM11] cyl=1 seq=14 ev=SKIP      val_us=17728 refBig_us=34304
[COM12] cyl=2 seq=10 ev=SYNCCAND  val_us=97648 refBig_us=37200
[COM11] cyl=1 seq=15 ev=SKIP      val_us=13360 refBig_us=33776
[COM12] cyl=2 seq=11 ev=SYNCCAND  val_us=44304 refBig_us=44304
[COM12] cyl=2 seq=12 ev=SKIP      val_us=14736 refBig_us=43616
[COM11] cyl=1 seq=16 ev=SYNCCAND  val_us=121360 refBig_us=42208
[COM11] cyl=1 seq=17 ev=SYNCCAND  val_us=34336 refBig_us=41552
[COM11] cyl=1 seq=18 ev=SKIP      val_us=21488 refBig_us=40912
[COM12] cyl=2 seq=13 ev=SYNCCAND  val_us=113376 refBig_us=54512
[COM11] cyl=1 seq=19 ev=SKIP      val_us=11536 refBig_us=40288
[COM12] cyl=2 seq=14 ev=SYNCCAND  val_us=59040 refBig_us=59040
[COM11] cyl=1 seq=20 ev=SYNCCAND  val_us=123840 refBig_us=50352
[COM11] cyl=1 seq=21 ev=SYNCCAND  val_us=38240 refBig_us=49568
[COM12] cyl=2 seq=15 ev=SYNCCAND  val_us=93376 refBig_us=73792
[COM11] cyl=1 seq=22 ev=SKIP      val_us=19008 refBig_us=48800
[COM12] cyl=2 seq=16 ev=SKIP      val_us=5536 refBig_us=72640
[COM11] cyl=1 seq=23 ev=SKIP      val_us=10528 refBig_us=48048
[COM12] cyl=2 seq=17 ev=SYNCCAND  val_us=67984 refBig_us=71520
[COM11] cyl=1 seq=24 ev=SYNCCAND  val_us=120976 refBig_us=60048
[COM11] cyl=1 seq=25 ev=SKIP      val_us=34448 refBig_us=59120
[COM12] cyl=2 seq=18 ev=SYNCCAND  val_us=92512 refBig_us=89392
