=== CAPTURE OPEN - crank now ===
WATCHDOG: STALL gap_us=3000012
seq=1 ev=SKIP      val_us=18576624 refBig_us=0
seq=2 ev=SKIP      val_us=5024 refBig_us=5024
seq=3 ev=REJECTED  val_us=18588896 refBig_us=6272
seq=4 ev=REJECTED  val_us=4736 refBig_us=6176
seq=5 ev=SYNCCAND  val_us=22816 refBig_us=7712
seq=6 ev=SYNCCAND  val_us=44160 refBig_us=9632
seq=7 ev=SYNCCAND  val_us=17232 refBig_us=12032
seq=8 ev=SKIP      val_us=6576 refBig_us=11856
seq=9 ev=SYNCFIRST val_us=17680 refBig_us=11680
seq=10 ev=RELOCK    val_us=86768 refBig_us=14592
seq=11 ev=SYNCCAND  val_us=34944 refBig_us=18240
seq=12 ev=SYNCCAND  val_us=16352 refBig_us=17968
seq=13 ev=SKIP      val_us=4960 refBig_us=17696
seq=14 ev=SKIP      val_us=9696 refBig_us=17424
seq=15 ev=SYNCCAND  val_us=130304 refBig_us=21776
seq=16 ev=SYNCCAND  val_us=21472 refBig_us=21440
seq=17 ev=SKIP      val_us=10256 refBig_us=21120
seq=18 ev=SYNCCAND  val_us=126704 refBig_us=26400
seq=19 ev=SKIP      val_us=15488 refBig_us=26000
seq=20 ev=SKIP      val_us=14672 refBig_us=25600
seq=21 ev=SYNCFIRST val_us=167104 refBig_us=32000
seq=22 ev=SKIP      val_us=9168 refBig_us=31504
seq=23 ev=FIRED     val_us=124720 refBig_us=39376 period_us=165776 rpm=361 resid_us=-42384 edgeToSpark_us=149648
seq=24 ev=SKIP      val_us=18880 refBig_us=38768
seq=25 ev=SKIP      val_us=12032 refBig_us=38176
seq=26 ev=FIRED     val_us=110384 refBig_us=47712 period_us=164032 rpm=365 resid_us=-55392 edgeToSpark_us=148080
seq=27 ev=SKIP      val_us=15392 refBig_us=46976
seq=28 ev=SKIP      val_us=14432 refBig_us=46256
seq=29 ev=FIRED     val_us=116000 refBig_us=57808 period_us=162528 rpm=369 resid_us=-48032 edgeToSpark_us=146720
seq=30 ev=SKIP      val_us=12576 refBig_us=56912
seq=31 ev=EARLY     val_us=85648 refBig_us=71136
seq=32 ev=SKIP      val_us=19728 refBig_us=70032
seq=33 ev=SKIP      val_us=11600 refBig_us=68944
seq=34 ev=FIRED     val_us=233024 refBig_us=86176 period_us=164720 rpm=364 resid_us=70496 edgeToSpark_us=197408
seq=35 ev=SKIP      val_us=21712 refBig_us=84832
seq=36 ev=SKIP      val_us=9760 refBig_us=83520
seq=37 ev=FIRED     val_us=226288 refBig_us=104400 period_us=166640 rpm=360 resid_us=61568 edgeToSpark_us=191712
seq=38 ev=SKIP      val_us=16016 refBig_us=102784
seq=39 ev=FIRED     val_us=184736 refBig_us=114848 period_us=167200 rpm=358 resid_us=18096 edgeToSpark_us=156512
seq=40 ev=SKIP      val_us=17216 refBig_us=113056
seq=41 ev=SKIP      val_us=14016 refBig_us=111296
