=== CAPTURE OPEN - crank now ===
seq=2 ev=REJECTED  val_us=2174832 refBig_us=1048576
WATCHDOG: STALL gap_us=3000012
seq=3 ev=REJECTED  val_us=16654896 refBig_us=1048576
seq=4 ev=SKIP      val_us=5424 refBig_us=1032192
seq=5 ev=SKIP      val_us=5008 refBig_us=1016064
seq=6 ev=SKIP      val_us=23904 refBig_us=1000192
seq=7 ev=SKIP      val_us=21344 refBig_us=984576
seq=8 ev=SKIP      val_us=10384 refBig_us=969200
seq=9 ev=SKIP      val_us=10288 refBig_us=954064
seq=10 ev=SKIP      val_us=95984 refBig_us=939168
seq=11 ev=SKIP      val_us=33568 refBig_us=924496
seq=12 ev=SKIP      val_us=18288 refBig_us=910064
seq=13 ev=SKIP      val_us=13616 refBig_us=895856
seq=14 ev=SKIP      val_us=144416 refBig_us=881872
seq=15 ev=SKIP      val_us=11472 refBig_us=868096
seq=16 ev=SKIP      val_us=105680 refBig_us=854544
seq=17 ev=SKIP      val_us=82528 refBig_us=841200
seq=18 ev=SKIP      val_us=25040 refBig_us=828064
seq=19 ev=SKIP      val_us=204544 refBig_us=815136
seq=20 ev=REJECTED  val_us=3459184 refBig_us=815136
seq=21 ev=SKIP      val_us=5552 refBig_us=802400
seq=22 ev=SKIP      val_us=12000 refBig_us=789872
seq=23 ev=SKIP      val_us=24608 refBig_us=777536
seq=24 ev=SKIP      val_us=101440 refBig_us=765392
seq=25 ev=SKIP      val_us=53696 refBig_us=753440
seq=26 ev=SKIP      val_us=13024 refBig_us=741680
seq=27 ev=SKIP      val_us=120912 refBig_us=730096
seq=28 ev=SKIP      val_us=21600 refBig_us=718704
seq=29 ev=SKIP      val_us=10912 refBig_us=707488
seq=30 ev=SKIP      val_us=135952 refBig_us=696448
seq=31 ev=SKIP      val_us=14080 refBig_us=685568
seq=32 ev=SKIP      val_us=140176 refBig_us=674864
seq=33 ev=SKIP      val_us=9296 refBig_us=664320
seq=34 ev=SKIP      val_us=119728 refBig_us=653952
seq=35 ev=SKIP      val_us=16064 refBig_us=643744
seq=36 ev=SKIP      val_us=16416 refBig_us=633696
seq=37 ev=SKIP      val_us=117088 refBig_us=623808
seq=38 ev=SKIP      val_us=18096 refBig_us=614064
seq=39 ev=SKIP      val_us=12592 refBig_us=604480
seq=40 ev=SKIP      val_us=119536 refBig_us=595040
seq=41 ev=SKIP      val_us=21552 refBig_us=585744
seq=42 ev=SKIP      val_us=8896 refBig_us=576592
seq=43 ev=SKIP      val_us=119232 refBig_us=567584
seq=44 ev=SKIP      val_us=21760 refBig_us=558720
seq=45 ev=SKIP      val_us=9984 refBig_us=550000
seq=46 ev=SKIP      val_us=137184 refBig_us=541408
seq=47 ev=SKIP      val_us=15392 refBig_us=532960
seq=48 ev=SKIP      val_us=136624 refBig_us=524640
seq=49 ev=SKIP      val_us=11856 refBig_us=516448
seq=50 ev=SKIP      val_us=119344 refBig_us=508384
seq=51 ev=SKIP      val_us=20576 refBig_us=500448
seq=52 ev=SKIP      val_us=11392 refBig_us=492640
seq=53 ev=SKIP      val_us=139136 refBig_us=484944
seq=54 ev=SKIP      val_us=11392 refBig_us=477376
seq=55 ev=SKIP      val_us=119392 refBig_us=469920
seq=56 ev=SKIP      val_us=19088 refBig_us=462592
seq=57 ev=SKIP      val_us=12160 refBig_us=455376
seq=58 ev=SKIP      val_us=86848 refBig_us=448272
seq=59 ev=SKIP      val_us=32432 refBig_us=441280
seq=60 ev=SKIP      val_us=21776 refBig_us=434400
seq=61 ev=SKIP      val_us=10208 refBig_us=427616
seq=62 ev=SKIP      val_us=119664 refBig_us=420944
seq=63 ev=SKIP      val_us=18160 refBig_us=414368
seq=64 ev=SKIP      val_us=15152 refBig_us=407904
seq=65 ev=SKIP      val_us=135824 refBig_us=401536
seq=66 ev=SKIP      val_us=13392 refBig_us=395264
seq=67 ev=SKIP      val_us=86208 refBig_us=389088
seq=68 ev=SKIP      val_us=32112 refBig_us=383024
seq=69 ev=SKIP      val_us=21664 refBig_us=377040
seq=70 ev=SKIP      val_us=9920 refBig_us=371152
seq=71 ev=SKIP      val_us=136800 refBig_us=365360
seq=72 ev=SKIP      val_us=14272 refBig_us=359664
seq=73 ev=SKIP      val_us=85936 refBig_us=354048
seq=74 ev=SKIP      val_us=32800 refBig_us=348528
seq=75 ev=SKIP      val_us=18672 refBig_us=343088
seq=76 ev=SKIP      val_us=13200 refBig_us=337728
seq=77 ev=SKIP      val_us=119040 refBig_us=332464
seq=78 ev=SKIP      val_us=22240 refBig_us=327280
seq=79 ev=SKIP      val_us=10032 refBig_us=322176
seq=80 ev=SKIP      val_us=119760 refBig_us=317152
seq=81 ev=SKIP      val_us=21024 refBig_us=312208
seq=82 ev=SKIP      val_us=10448 refBig_us=307344
seq=83 ev=SKIP      val_us=120480 refBig_us=302544
seq=84 ev=SKIP      val_us=19552 refBig_us=297824
seq=85 ev=SKIP      val_us=12112 refBig_us=293184
seq=86 ev=SKIP      val_us=121072 refBig_us=288608
seq=87 ev=SKIP      val_us=21536 refBig_us=284112
seq=88 ev=SKIP      val_us=10672 refBig_us=279680
seq=89 ev=SKIP      val_us=136912 refBig_us=275312
seq=90 ev=SKIP      val_us=12944 refBig_us=271024
seq=91 ev=SKIP      val_us=87552 refBig_us=266800
seq=92 ev=SKIP      val_us=33568 refBig_us=262640
seq=93 ev=SKIP      val_us=21440 refBig_us=258544
seq=94 ev=SKIP      val_us=10080 refBig_us=254512
seq=95 ev=SKIP      val_us=119088 refBig_us=250544
seq=96 ev=SKIP      val_us=22496 refBig_us=246640
seq=97 ev=SKIP      val_us=10384 refBig_us=242800
seq=98 ev=SKIP      val_us=137456 refBig_us=239008
seq=99 ev=SKIP      val_us=13840 refBig_us=235280
seq=100 ev=REJECTED  val_us=4277920 refBig_us=231616
seq=101 ev=SKIP      val_us=10784 refBig_us=228000
seq=102 ev=SKIP      val_us=120416 refBig_us=224448
seq=103 ev=SKIP      val_us=21616 refBig_us=220944
seq=104 ev=SKIP      val_us=9728 refBig_us=217504
seq=105 ev=SYNCCAND  val_us=301184 refBig_us=214112
seq=106 ev=SKIP      val_us=13648 refBig_us=210768
seq=107 ev=SKIP      val_us=120864 refBig_us=207488
seq=108 ev=SKIP      val_us=19648 refBig_us=204256
seq=109 ev=SKIP      val_us=11760 refBig_us=201072
seq=110 ev=SYNCFIRST val_us=286736 refBig_us=197936
seq=111 ev=SKIP      val_us=22240 refBig_us=194848
seq=112 ev=SKIP      val_us=11168 refBig_us=191808
seq=113 ev=EARLY     val_us=170352 refBig_us=188816
seq=114 ev=SKIP      val_us=13600 refBig_us=185872
seq=115 ev=FIRED     val_us=304928 refBig_us=182976 period_us=287296 rpm=208 resid_us=18192 edgeToSpark_us=259360
seq=116 ev=SKIP      val_us=19888 refBig_us=180128
seq=117 ev=SKIP      val_us=12656 refBig_us=177328
seq=118 ev=EARLY     val_us=170016 refBig_us=174560
seq=119 ev=SKIP      val_us=17248 refBig_us=171840
seq=120 ev=SKIP      val_us=14944 refBig_us=169168
seq=121 ev=FIRED     val_us=321936 refBig_us=166528 period_us=288368 rpm=208 resid_us=34640 edgeToSpark_us=272736
seq=122 ev=SKIP      val_us=19424 refBig_us=163936
seq=123 ev=SKIP      val_us=12560 refBig_us=161376
seq=124 ev=FIRED     val_us=183936 refBig_us=158864 period_us=285104 rpm=210 resid_us=-104432 edgeToSpark_us=257376
seq=125 ev=SKIP      val_us=20304 refBig_us=156384
seq=126 ev=SKIP      val_us=11920 refBig_us=153952
seq=127 ev=SKIP      val_us=85776 refBig_us=151552
seq=128 ev=SKIP      val_us=33904 refBig_us=149184
seq=129 ev=SKIP      val_us=22592 refBig_us=146864
seq=130 ev=SKIP      val_us=10160 refBig_us=144576
seq=131 ev=FIRED     val_us=216992 refBig_us=142320 period_us=282960 rpm=212 resid_us=-68112 edgeToSpark_us=255440
seq=132 ev=SKIP      val_us=19008 refBig_us=140112
seq=133 ev=SKIP      val_us=9824 refBig_us=137936
seq=134 ev=EARLY     val_us=56048 refBig_us=135792
seq=135 ev=SKIP      val_us=56384 refBig_us=133680
seq=136 ev=SKIP      val_us=10096 refBig_us=131600
seq=137 ev=FIRED     val_us=209168 refBig_us=129552 period_us=280640 rpm=213 resid_us=-73792 edgeToSpark_us=253344
seq=138 ev=SKIP      val_us=35712 refBig_us=127536
seq=139 ev=SKIP      val_us=21296 refBig_us=125552
seq=140 ev=SKIP      val_us=10016 refBig_us=123600
seq=141 ev=EARLY     val_us=146320 refBig_us=143856
seq=142 ev=SKIP      val_us=10128 refBig_us=141616
seq=143 ev=FIRED     val_us=277600 refBig_us=139408 period_us=280544 rpm=213 resid_us=-3040 edgeToSpark_us=253264
seq=144 ev=SKIP      val_us=21360 refBig_us=137232
seq=145 ev=SKIP      val_us=10304 refBig_us=135088
seq=146 ev=EARLY     val_us=151088 refBig_us=132992
seq=147 ev=SKIP      val_us=21808 refBig_us=130928
seq=148 ev=SKIP      val_us=10480 refBig_us=128896
seq=149 ev=FIRED     val_us=272560 refBig_us=126896 period_us=280288 rpm=214 resid_us=-7984 edgeToSpark_us=253024
seq=150 ev=SKIP      val_us=32208 refBig_us=124928
seq=151 ev=SKIP      val_us=20208 refBig_us=122976
seq=152 ev=SKIP      val_us=11792 refBig_us=121056
seq=153 ev=FIRED     val_us=178912 refBig_us=121680 period_us=277120 rpm=216 resid_us=-101376 edgeToSpark_us=250176
seq=154 ev=SKIP      val_us=19808 refBig_us=119792
seq=155 ev=SKIP      val_us=13376 refBig_us=117936
seq=156 ev=EARLY     val_us=65856 refBig_us=121376
seq=157 ev=SKIP      val_us=22128 refBig_us=119488
seq=158 ev=SKIP      val_us=9744 refBig_us=117632
seq=159 ev=FIRED     val_us=238512 refBig_us=140784 period_us=275904 rpm=217 resid_us=-38608 edgeToSpark_us=249072
seq=160 ev=SKIP      val_us=14464 refBig_us=138592
seq=161 ev=EARLY     val_us=122576 refBig_us=141888
seq=162 ev=SKIP      val_us=11856 refBig_us=139680
seq=163 ev=FIRED     val_us=256256 refBig_us=137504 period_us=275280 rpm=217 resid_us=-19648 edgeToSpark_us=248512
seq=164 ev=SKIP      val_us=22144 refBig_us=135360
seq=165 ev=SKIP      val_us=10032 refBig_us=133248
seq=166 ev=EARLY     val_us=103168 refBig_us=131168
seq=167 ev=SKIP      val_us=35056 refBig_us=129120
seq=168 ev=SKIP      val_us=18912 refBig_us=127104
seq=169 ev=SKIP      val_us=12736 refBig_us=125120
seq=170 ev=FIRED     val_us=258592 refBig_us=123168 period_us=274752 rpm=218 resid_us=-16688 edgeToSpark_us=248032
seq=171 ev=SKIP      val_us=33920 refBig_us=121248
seq=172 ev=SKIP      val_us=20064 refBig_us=119360
seq=173 ev=SKIP      val_us=12384 refBig_us=117504
seq=174 ev=FIRED     val_us=173776 refBig_us=122000 period_us=271584 rpm=220 resid_us=-100976 edgeToSpark_us=245168
seq=175 ev=SKIP      val_us=17504 refBig_us=120096
seq=176 ev=SKIP      val_us=14688 refBig_us=118224
seq=177 ev=EARLY     val_us=31488 refBig_us=116384
seq=178 ev=SKIP      val_us=57136 refBig_us=114576
seq=179 ev=SKIP      val_us=11472 refBig_us=112800
seq=180 ev=FIRED     val_us=187120 refBig_us=111040 period_us=268944 rpm=223 resid_us=-84464 edgeToSpark_us=242784
seq=181 ev=SKIP      val_us=33200 refBig_us=109312
seq=182 ev=SKIP      val_us=21280 refBig_us=107616
seq=183 ev=SKIP      val_us=11568 refBig_us=105936
seq=184 ev=EARLY     val_us=115600 refBig_us=123456
seq=185 ev=SKIP      val_us=16304 refBig_us=121536
seq=186 ev=SKIP      val_us=14352 refBig_us=119648
seq=187 ev=FIRED     val_us=231248 refBig_us=117792 period_us=267760 rpm=224 resid_us=-37696 edgeToSpark_us=241712
seq=188 ev=SKIP      val_us=38224 refBig_us=115952
seq=189 ev=SKIP      val_us=22144 refBig_us=114144
seq=190 ev=SKIP      val_us=10800 refBig_us=112368
seq=191 ev=FIRED     val_us=180592 refBig_us=140448 period_us=265024 rpm=226 resid_us=-87168 edgeToSpark_us=239248
seq=192 ev=SKIP      val_us=12336 refBig_us=138256
seq=193 ev=EARLY     val_us=21776 refBig_us=136096
seq=194 ev=SKIP      val_us=36768 refBig_us=133984
seq=195 ev=SKIP      val_us=20960 refBig_us=131904
seq=196 ev=SKIP      val_us=12000 refBig_us=129856
seq=197 ev=FIRED     val_us=213232 refBig_us=127840 period_us=263392 rpm=227 resid_us=-51792 edgeToSpark_us=237776
seq=198 ev=SKIP      val_us=20080 refBig_us=125856
seq=199 ev=SKIP      val_us=12208 refBig_us=123904
seq=200 ev=EARLY     val_us=75744 refBig_us=121968
seq=201 ev=SKIP      val_us=34416 refBig_us=120064
seq=202 ev=SKIP      val_us=22288 refBig_us=118192
seq=203 ev=SKIP      val_us=10528 refBig_us=116352
