[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] cyl=2 seq=1 ev=SKIP      val_us=17625984 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=17629840 refBig_us=0
[COM13] cyl=3 seq=1 ev=SKIP      val_us=17634560 refBig_us=0
[COM12] cyl=2 seq=2 ev=SKIP      val_us=14208 refBig_us=14208
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=17659152 refBig_us=17760
[COM13] cyl=3 seq=2 ev=SKIP      val_us=28832 refBig_us=28832
[COM12] cyl=2 seq=4 ev=SYNCCAND  val_us=25552 refBig_us=22192
[COM11] cyl=1 seq=2 ev=SKIP      val_us=59104 refBig_us=59104
[COM12] cyl=2 seq=5 ev=SYNCCAND  val_us=14016 refBig_us=21856
[COM11] cyl=1 seq=3 ev=SKIP      val_us=26128 refBig_us=58192
[COM12] cyl=2 seq=6 ev=SYNCCAND  val_us=18944 refBig_us=21520
[COM11] cyl=1 seq=4 ev=SKIP      val_us=14624 refBig_us=57296
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=17751312 refBig_us=36032
[COM12] cyl=2 seq=7 ev=SYNCCAND  val_us=42336 refBig_us=26896
[COM12] cyl=2 seq=8 ev=SKIP      val_us=5008 refBig_us=26480
[COM13] cyl=3 seq=4 ev=SKIP      val_us=15776 refBig_us=35472
[COM12] cyl=2 seq=9 ev=SKIP      val_us=14336 refBig_us=26080
[COM12] cyl=2 seq=10 ev=SKIP      val_us=13552 refBig_us=25680
[COM11] cyl=1 seq=5 ev=REJECTED  val_us=17824080 refBig_us=71616
[COM13] cyl=3 seq=5 ev=SYNCCAND  val_us=95008 refBig_us=44336
[COM11] cyl=1 seq=6 ev=SKIP      val_us=41088 refBig_us=70512
[COM11] cyl=1 seq=7 ev=SKIP      val_us=19232 refBig_us=69424
[COM12] cyl=2 seq=11 ev=SYNCCAND  val_us=128704 refBig_us=32096
