[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM13] cyl=3 seq=1 ev=SKIP      val_us=61418544 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=61417952 refBig_us=0
[COM13] cyl=3 seq=2 ev=SKIP      val_us=2496 refBig_us=2496
[COM11] cyl=1 seq=1 ev=SKIP      val_us=61424368 refBig_us=0
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=61427536 refBig_us=3120
[COM12] cyl=2 seq=2 ev=SKIP      val_us=9984 refBig_us=9984
[COM11] cyl=1 seq=2 ev=SKIP      val_us=6192 refBig_us=6192
[COM12] cyl=2 seq=3 ev=SKIP      val_us=5216 refBig_us=9840
[COM13] cyl=3 seq=4 ev=IMPLAUS   val_us=13232 refBig_us=3888
[COM12] cyl=2 seq=4 ev=REJECTED  val_us=61444384 refBig_us=11232
[COM13] cyl=3 seq=5 ev=IMPLAUS   val_us=28576 refBig_us=4848
[COM13] cyl=3 seq=8 missed=2 ev=SKIP      val_us=816 refBig_us=4656
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=61474272 refBig_us=7728
[COM13] cyl=3 seq=9 ev=SKIP      val_us=2144 refBig_us=4592
[COM11] cyl=1 seq=4 ev=IMPLAUS   val_us=18784 refBig_us=9648
[COM13] cyl=3 seq=10 ev=IMPLAUS   val_us=35088 refBig_us=5728
[COM13] cyl=3 seq=11 ev=IMPLAUS   val_us=10608 refBig_us=7152
[COM11] cyl=1 seq=5 ev=IMPLAUS   val_us=31472 refBig_us=12048
[COM11] cyl=1 seq=6 ev=IMPLAUS   val_us=10128 refBig_us=11872
[COM11] cyl=1 seq=7 ev=IMPLAUS   val_us=22624 refBig_us=14832
[COM12] cyl=2 seq=5 ev=SYNCCAND  val_us=114688 refBig_us=14032
[COM12] cyl=2 seq=6 ev=SKIP      val_us=3408 refBig_us=13824
[COM11] cyl=1 seq=8 ev=IMPLAUS   val_us=15536 refBig_us=15536
[COM12] cyl=2 seq=7 ev=IMPLAUS   val_us=44448 refBig_us=17280
[COM12] cyl=2 seq=8 ev=SKIP      val_us=2768 refBig_us=17024
[COM13] cyl=3 seq=12 ev=IMPLAUS   val_us=98720 refBig_us=8928
[COM12] cyl=2 seq=9 ev=SKIP      val_us=10816 refBig_us=16768
[COM12] cyl=2 seq=10 ev=IMPLAUS   val_us=25552 refBig_us=16512
[COM11] cyl=1 seq=9 ev=IMPLAUS   val_us=94752 refBig_us=19408
[COM13] cyl=3 seq=13 ev=IMPLAUS   val_us=62416 refBig_us=11152
[COM13] cyl=3 seq=14 ev=IMPLAUS   val_us=10016 refBig_us=10992
[COM11] cyl=1 seq=10 ev=IMPLAUS   val_us=36624 refBig_us=24256
[COM12] cyl=2 seq=11 ev=IMPLAUS   val_us=98848 refBig_us=20640
[COM11] cyl=1 seq=11 ev=IMPLAUS   val_us=24144 refBig_us=23888
[COM12] cyl=2 seq=12 ev=SKIP      val_us=2736 refBig_us=20320
[COM11] cyl=1 seq=12 ev=SKIP      val_us=10448 refBig_us=23520
[COM12] cyl=2 seq=13 ev=IMPLAUS   val_us=35280 refBig_us=25392
[COM13] cyl=3 seq=15 ev=IMPLAUS   val_us=98064 refBig_us=13728
[COM12] cyl=2 seq=14 ev=IMPLAUS   val_us=30784 refBig_us=30784
[COM11] cyl=1 seq=13 ev=SYNCCAND  val_us=101536 refBig_us=29392
[COM13] cyl=3 seq=16 ev=IMPLAUS   val_us=56112 refBig_us=17152
[COM13] cyl=3 seq=17 ev=SKIP      val_us=9856 refBig_us=16896
[COM11] cyl=1 seq=14 ev=IMPLAUS   val_us=60864 refBig_us=36736
[COM12] cyl=2 seq=15 ev=IMPLAUS   val_us=98128 refBig_us=38480
[COM11] cyl=1 seq=15 ev=SKIP      val_us=12192 refBig_us=36176
[COM12] cyl=2 seq=16 ev=IMPLAUS   val_us=36608 refBig_us=37888
[COM12] cyl=2 seq=17 ev=SKIP      val_us=3952 refBig_us=37296
[COM13] cyl=3 seq=18 ev=IMPLAUS   val_us=96976 refBig_us=21120
[COM13] cyl=3 seq=19 ev=SKIP      val_us=6416 refBig_us=20800
[COM12] cyl=2 seq=18 ev=SKIP      val_us=23936 refBig_us=36720
[COM13] cyl=3 seq=20 ev=IMPLAUS   val_us=42720 refBig_us=26000
[COM11] cyl=1 seq=16 ev=SYNCCAND  val_us=103568 refBig_us=45216
[COM13] cyl=3 seq=21 ev=IMPLAUS   val_us=32992 refBig_us=32496
[COM11] cyl=1 seq=17 ev=IMPLAUS   val_us=37728 refBig_us=44512
[COM11] cyl=1 seq=18 ev=SKIP      val_us=21872 refBig_us=43824
[COM12] cyl=2 seq=19 ev=SYNCCAND  val_us=131504 refBig_us=45888
