[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] cyl=3 seq=1 ev=SKIP      val_us=15324528 refBig_us=0
[COM13] cyl=3 seq=2 ev=SKIP      val_us=4256 refBig_us=4256
[COM13] cyl=3 seq=3 ev=SKIP      val_us=736 refBig_us=4192
[COM13] cyl=3 seq=4 ev=REJECTED  val_us=15343584 refBig_us=5232
[COM11] cyl=1 seq=1 ev=SKIP      val_us=15346288 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=15349232 refBig_us=0
[COM13] cyl=3 seq=5 ev=SYNCCAND  val_us=6944 refBig_us=6528
[COM11] cyl=1 seq=2 ev=SKIP      val_us=6096 refBig_us=6096
[COM12] cyl=2 seq=2 ev=SKIP      val_us=7744 refBig_us=7744
[COM13] cyl=3 seq=6 ev=SYNCCAND  val_us=9440 refBig_us=8160
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=15357424 refBig_us=6016
[COM13] cyl=3 seq=7 ev=SKIP      val_us=1584 refBig_us=8048
[COM13] cyl=3 seq=8 ev=SYNCCAND  val_us=13552 refBig_us=10048
[COM11] cyl=1 seq=4 ev=SYNCCAND  val_us=26672 refBig_us=7520
[COM11] cyl=1 seq=5 ev=SYNCFIRST val_us=22256 refBig_us=9392
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=15413136 refBig_us=9680
[COM11] cyl=1 seq=6 ev=FIRED     val_us=20240 refBig_us=11728 period_us=22192 rpm=2703 resid_us=-2016 edgeToSpark_us=19408
[COM13] cyl=3 seq=9 ev=SYNCCAND  val_us=90368 refBig_us=12560
[COM13] cyl=3 seq=10 ev=SKIP      val_us=7040 refBig_us=12368
[COM13] cyl=3 seq=11 ev=SYNCCAND  val_us=19072 refBig_us=12176
[COM12] cyl=2 seq=4 ev=SYNCCAND  val_us=74496 refBig_us=12096
[COM13] cyl=3 seq=12 ev=SYNCFIRST val_us=23872 refBig_us=15216
[COM11] cyl=1 seq=7 ev=RELOCK    val_us=97904 refBig_us=14656
[COM13] cyl=3 seq=13 ev=FIRED     val_us=36176 refBig_us=19008 period_us=23504 rpm=2552 resid_us=-11568 edgeToSpark_us=20560
[COM11] cyl=1 seq=8 ev=SYNCCAND  val_us=35216 refBig_us=18320
[COM11] cyl=1 seq=9 ev=SYNCCAND  val_us=23632 refBig_us=22896
[COM12] cyl=2 seq=5 ev=SYNCCAND  val_us=99360 refBig_us=15120
[COM11] cyl=1 seq=10 ev=SKIP      val_us=10704 refBig_us=22544
[COM12] cyl=2 seq=6 ev=SYNCCAND  val_us=39888 refBig_us=18896
[COM13] cyl=3 seq=14 ev=RELOCK    val_us=80368 refBig_us=23760
[COM13] cyl=3 seq=15 ev=SKIP      val_us=3904 refBig_us=23392
[COM12] cyl=2 seq=7 ev=SYNCCAND  val_us=26624 refBig_us=23616
[COM11] cyl=1 seq=11 ev=SYNCCAND  val_us=101568 refBig_us=28176
[COM13] cyl=3 seq=16 ev=SYNCCAND  val_us=60272 refBig_us=29232
[COM13] cyl=3 seq=17 ev=SKIP      val_us=10496 refBig_us=28784
[COM11] cyl=1 seq=12 ev=SYNCCAND  val_us=56944 refBig_us=35216
[COM12] cyl=2 seq=8 ev=SYNCCAND  val_us=93696 refBig_us=29520
[COM11] cyl=1 seq=13 ev=SKIP      val_us=11216 refBig_us=34672
[COM13] cyl=3 seq=18 ev=SYNCCAND  val_us=100064 refBig_us=35968
[COM13] cyl=3 seq=19 ev=SKIP      val_us=10912 refBig_us=35408
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=61872 refBig_us=36896
[COM11] cyl=1 seq=14 ev=SYNCCAND  val_us=99776 refBig_us=43328
[COM13] cyl=3 seq=20 ev=SYNCCAND  val_us=58928 refBig_us=44256
[COM13] cyl=3 seq=21 ev=SKIP      val_us=8352 refBig_us=43568
[COM11] cyl=1 seq=15 ev=SYNCCAND  val_us=37264 refBig_us=42656
[COM12] cyl=2 seq=10 ev=SYNCCAND  val_us=93840 refBig_us=46112
[COM11] cyl=1 seq=16 ev=SKIP      val_us=21168 refBig_us=42000
[COM12] cyl=2 seq=11 ev=SKIP      val_us=3616 refBig_us=45392
[COM11] cyl=1 seq=17 ev=SKIP      val_us=11280 refBig_us=41344
[COM12] cyl=2 seq=12 ev=SYNCCAND  val_us=39520 refBig_us=44688
[COM12] cyl=2 seq=13 ev=SKIP      val_us=3248 refBig_us=44000
[COM13] cyl=3 seq=22 ev=SYNCCAND  val_us=101568 refBig_us=54448
[COM13] cyl=3 seq=23 ev=SKIP      val_us=7872 refBig_us=53600
[COM12] cyl=2 seq=14 ev=SKIP      val_us=21216 refBig_us=43328
[COM11] cyl=1 seq=18 ev=SYNCCAND  val_us=123376 refBig_us=51680
[COM13] cyl=3 seq=24 ev=SYNCCAND  val_us=65232 refBig_us=57360
[COM11] cyl=1 seq=19 ev=SYNCCAND  val_us=55040 refBig_us=55040
[COM12] cyl=2 seq=15 ev=SYNCCAND  val_us=122224 refBig_us=54160
[COM11] cyl=1 seq=20 ev=SKIP      val_us=11520 refBig_us=54192
[COM13] cyl=3 seq=25 ev=SYNCCAND  val_us=88048 refBig_us=71696
[COM13] cyl=3 seq=26 ev=SKIP      val_us=6640 refBig_us=70576
[COM12] cyl=2 seq=16 ev=SYNCCAND  val_us=64304 refBig_us=64304
[COM11] cyl=1 seq=21 ev=SYNCCAND  val_us=103280 refBig_us=67728
[COM13] cyl=3 seq=27 ev=SYNCFIRST val_us=69376 refBig_us=69488
[COM11] cyl=1 seq=22 ev=SKIP      val_us=32912 refBig_us=66672
[COM11] cyl=1 seq=23 ev=SKIP      val_us=22704 refBig_us=65632
[COM12] cyl=2 seq=17 ev=SYNCCAND  val_us=96400 refBig_us=80368
[COM11] cyl=1 seq=24 ev=SKIP      val_us=10880 refBig_us=64608
[COM12] cyl=2 seq=18 ev=SKIP      val_us=29824 refBig_us=79120
[COM12] cyl=2 seq=19 ev=SKIP      val_us=17264 refBig_us=77888
[COM13] cyl=3 seq=28 ev=FIRED     val_us=91840 refBig_us=86848 period_us=70064 rpm=856 resid_us=22464 edgeToSpark_us=77808
[COM12] cyl=2 seq=20 ev=SKIP      val_us=11424 refBig_us=76672
[COM13] cyl=3 seq=29 ev=SKIP      val_us=32480 refBig_us=85504
[COM11] cyl=1 seq=25 ev=SYNCCAND  val_us=156160 refBig_us=80752
[COM13] cyl=3 seq=30 ev=SKIP      val_us=24416 refBig_us=84176
[COM13] cyl=3 seq=31 ev=SKIP      val_us=9296 refBig_us=82864
[COM11] cyl=1 seq=26 ev=SKIP      val_us=35136 refBig_us=79504
[COM12] cyl=2 seq=21 ev=SYNCCAND  val_us=150592 refBig_us=92080
[COM11] cyl=1 seq=27 ev=SKIP      val_us=23344 refBig_us=78272
[COM12] cyl=2 seq=22 ev=SKIP      val_us=4672 refBig_us=90656
[COM11] cyl=1 seq=28 ev=SKIP      val_us=10320 refBig_us=77056
[COM13] cyl=3 seq=32 ev=FIRED     val_us=175456 refBig_us=89600 period_us=68976 rpm=869 resid_us=-34736 edgeToSpark_us=60352
[COM13] cyl=3 seq=33 ev=SKIP      val_us=3856 refBig_us=88208
[COM12] cyl=2 seq=23 ev=SYNCCAND  val_us=68736 refBig_us=89248
[COM13] cyl=3 seq=34 ev=SKIP      val_us=29696 refBig_us=86832
[COM11] cyl=1 seq=29 ev=SYNCFIRST val_us=160928 refBig_us=92128
[COM13] cyl=3 seq=35 ev=SKIP      val_us=35888 refBig_us=85488
[COM11] cyl=1 seq=30 ev=SKIP      val_us=32976 refBig_us=90704
