[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] cyl=3 seq=1 ev=SKIP      val_us=24909632 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=24911968 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=24915344 refBig_us=0
[COM13] cyl=3 seq=2 ev=SKIP      val_us=5856 refBig_us=5856
[COM11] cyl=1 seq=2 ev=SKIP      val_us=7184 refBig_us=7184
[COM12] cyl=2 seq=2 ev=SKIP      val_us=7712 refBig_us=7712
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=24928912 refBig_us=8976
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=24949472 refBig_us=7312
[COM11] cyl=1 seq=4 ev=SYNCCAND  val_us=24176 refBig_us=11216
[COM13] cyl=3 seq=4 ev=SYNCCAND  val_us=6640 refBig_us=7200
[COM11] cyl=1 seq=5 ev=SYNCFIRST val_us=19840 refBig_us=14016
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=25009216 refBig_us=9632
[COM13] cyl=3 seq=5 ev=SYNCCAND  val_us=60208 refBig_us=8992
[COM12] cyl=2 seq=4 ev=SYNCCAND  val_us=10768 refBig_us=10768
[COM13] cyl=3 seq=6 ev=SKIP      val_us=4704 refBig_us=8864
[COM12] cyl=2 seq=5 ev=SYNCFIRST val_us=14000 refBig_us=13456
[COM11] cyl=1 seq=6 ev=RELOCK    val_us=98384 refBig_us=17520
[COM13] cyl=3 seq=7 ev=SYNCFIRST val_us=62592 refBig_us=11072
[COM13] cyl=3 seq=8 ev=EARLY     val_us=10096 refBig_us=10912
[COM11] cyl=1 seq=7 ev=SYNCCAND  val_us=37488 refBig_us=21888
[COM12] cyl=2 seq=6 ev=RELOCK    val_us=96688 refBig_us=16816
[COM11] cyl=1 seq=8 ev=SYNCCAND  val_us=22432 refBig_us=22432
[COM12] cyl=2 seq=7 ev=SKIP      val_us=4128 refBig_us=16560
[COM11] cyl=1 seq=9 ev=SKIP      val_us=9872 refBig_us=22096
[COM13] cyl=3 seq=9 ev=FIRED     val_us=102320 refBig_us=13632 period_us=61872 rpm=969 resid_us=-22864 edgeToSpark_us=54128
[COM12] cyl=2 seq=8 ev=SYNCCAND  val_us=68672 refBig_us=20688
[COM13] cyl=3 seq=10 ev=EARLY     val_us=12848 refBig_us=17040
[COM11] cyl=1 seq=10 ev=SYNCCAND  val_us=96352 refBig_us=27616
[COM13] cyl=3 seq=11 ev=EARLY     val_us=36272 refBig_us=21296
[COM13] cyl=3 seq=12 ev=SKIP      val_us=9728 refBig_us=20976
[COM11] cyl=1 seq=11 ev=SYNCCAND  val_us=37728 refBig_us=34512
[COM11] cyl=1 seq=12 ev=SKIP      val_us=21552 refBig_us=33984
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=94128 refBig_us=25856
[COM11] cyl=1 seq=13 ev=SKIP      val_us=11728 refBig_us=33456
[COM13] cyl=3 seq=13 ev=FIRED     val_us=137440 refBig_us=26208 period_us=62288 rpm=963 resid_us=13696 edgeToSpark_us=58208
[COM12] cyl=2 seq=10 ev=SYNCCAND  val_us=60560 refBig_us=32320
[COM13] cyl=3 seq=14 ev=FIRED     val_us=65392 refBig_us=32752 period_us=62384 rpm=961 resid_us=3104 edgeToSpark_us=55392
[COM13] cyl=3 seq=15 ev=SKIP      val_us=9616 refBig_us=32256
[COM11] cyl=1 seq=14 ev=SYNCCAND  val_us=155920 refBig_us=41808
[COM12] cyl=2 seq=11 ev=SYNCCAND  val_us=89072 refBig_us=40400
[COM11] cyl=1 seq=15 ev=SKIP      val_us=21632 refBig_us=41168
[COM12] cyl=2 seq=12 ev=SKIP      val_us=4848 refBig_us=39776
[COM11] cyl=1 seq=16 ev=SKIP      val_us=10240 refBig_us=40528
[COM12] cyl=2 seq=13 ev=SKIP      val_us=31248 refBig_us=39168
[COM12] cyl=2 seq=14 ev=SKIP      val_us=18464 refBig_us=38560
[COM13] cyl=3 seq=16 ev=FIRED     val_us=104704 refBig_us=40320 period_us=61744 rpm=971 resid_us=-20064 edgeToSpark_us=54016
[COM13] cyl=3 seq=17 ev=SKIP      val_us=6576 refBig_us=39696
[COM12] cyl=2 seq=15 ev=SKIP      val_us=10080 refBig_us=37968
[COM11] cyl=1 seq=17 ev=SYNCFIRST val_us=120640 refBig_us=50656
[COM13] cyl=3 seq=18 ev=EARLY     val_us=36352 refBig_us=47328
[COM13] cyl=3 seq=19 ev=SKIP      val_us=11792 refBig_us=46592
[COM11] cyl=1 seq=18 ev=SKIP      val_us=34816 refBig_us=49872
[COM11] cyl=1 seq=19 ev=SKIP      val_us=21696 refBig_us=49104
[COM12] cyl=2 seq=16 ev=SYNCCAND  val_us=160576 refBig_us=47456
[COM11] cyl=1 seq=20 ev=SKIP      val_us=9648 refBig_us=48352
[COM12] cyl=2 seq=17 ev=SYNCCAND  val_us=48144 refBig_us=48144
[COM13] cyl=3 seq=20 ev=FIRED     val_us=135648 refBig_us=58240 period_us=62112 rpm=965 resid_us=12160 edgeToSpark_us=57456
[COM12] cyl=2 seq=18 ev=SKIP      val_us=9504 refBig_us=47392
[COM11] cyl=1 seq=21 ev=FIRED     val_us=154784 refBig_us=60432 period_us=121696 rpm=493 resid_us=34144 edgeToSpark_us=131136
[COM13] cyl=3 seq=21 ev=FIRED     val_us=66736 refBig_us=57344 period_us=62256 rpm=963 resid_us=4624 edgeToSpark_us=56528
[COM13] cyl=3 seq=22 ev=SKIP      val_us=12816 refBig_us=56448
[COM11] cyl=1 seq=22 ev=SKIP      val_us=34272 refBig_us=59488
[COM11] cyl=1 seq=23 ev=SKIP      val_us=21600 refBig_us=58560
[COM12] cyl=2 seq=19 ev=SYNCCAND  val_us=104672 refBig_us=59232
[COM12] cyl=2 seq=20 ev=SKIP      val_us=4416 refBig_us=58320
[COM11] cyl=1 seq=24 ev=SKIP      val_us=11472 refBig_us=57648
[COM12] cyl=2 seq=21 ev=SYNCCAND  val_us=61168 refBig_us=57424
[COM13] cyl=3 seq=23 ev=FIRED     val_us=169744 refBig_us=70560 period_us=61712 rpm=972 resid_us=-17024 edgeToSpark_us=53984
[COM11] cyl=1 seq=25 ev=FIRED     val_us=219952 refBig_us=72048 period_us=120960 rpm=496 resid_us=-23440 edgeToSpark_us=109200
[COM12] cyl=2 seq=22 ev=SYNCCAND  val_us=91792 refBig_us=71776
[COM11] cyl=1 seq=26 ev=SKIP      val_us=22896 refBig_us=70928
[COM12] cyl=2 seq=23 ev=SKIP      val_us=5616 refBig_us=70656
[COM11] cyl=1 seq=27 ev=SKIP      val_us=9168 refBig_us=69824
[COM12] cyl=2 seq=24 ev=SKIP      val_us=31296 refBig_us=69552
[COM12] cyl=2 seq=25 ev=SKIP      val_us=14848 refBig_us=68480
[COM13] cyl=3 seq=24 ev=FIRED     val_us=73936 refBig_us=88192 period_us=62080 rpm=966 resid_us=12224 edgeToSpark_us=62640
[COM13] cyl=3 seq=25 ev=SKIP      val_us=4304 refBig_us=86816
[COM12] cyl=2 seq=26 ev=SKIP      val_us=10784 refBig_us=67424
[COM13] cyl=3 seq=26 ev=SKIP      val_us=6288 refBig_us=85472
[COM13] cyl=3 seq=27 ev=SKIP      val_us=45424 refBig_us=84144
[COM13] cyl=3 seq=28 ev=SKIP      val_us=9344 refBig_us=82832
[COM11] cyl=1 seq=28 ev=FIRED     val_us=133840 refBig_us=87280 period_us=121360 rpm=494 resid_us=12880 edgeToSpark_us=113392
[COM11] cyl=1 seq=29 ev=SKIP      val_us=19584 refBig_us=85920
[COM12] cyl=2 seq=27 ev=SYNCCAND  val_us=155904 refBig_us=84272
[COM12] cyl=2 seq=28 ev=SKIP      val_us=5584 refBig_us=82960
[COM11] cyl=1 seq=30 ev=SKIP      val_us=13584 refBig_us=84592
