[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM13] cyl=3 seq=1 ev=SKIP      val_us=31276208 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=31279248 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=31281472 refBig_us=0
[COM13] cyl=3 seq=2 ev=SKIP      val_us=4928 refBig_us=4928
[COM11] cyl=1 seq=2 ev=SKIP      val_us=5936 refBig_us=5936
[COM12] cyl=2 seq=2 ev=SKIP      val_us=8992 refBig_us=8992
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=31292704 refBig_us=6160
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=31297616 refBig_us=7408
[COM13] cyl=3 seq=4 ev=SKIP      val_us=896 refBig_us=6064
[COM13] cyl=3 seq=5 ev=IMPLAUS   val_us=6608 refBig_us=5984
[COM13] cyl=3 seq=6 ev=IMPLAUS   val_us=16880 refBig_us=7472
[COM11] cyl=1 seq=4 ev=IMPLAUS   val_us=43840 refBig_us=9248
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=31344256 refBig_us=11232
[COM11] cyl=1 seq=5 ev=SKIP      val_us=4720 refBig_us=9104
[COM12] cyl=2 seq=4 ev=SKIP      val_us=2528 refBig_us=11072
[COM12] cyl=2 seq=5 ev=IMPLAUS   val_us=12288 refBig_us=10912
[COM12] cyl=2 seq=6 ev=IMPLAUS   val_us=11712 refBig_us=11712
[COM11] cyl=1 seq=6 ev=IMPLAUS   val_us=28096 refBig_us=11376
[COM11] cyl=1 seq=7 ev=IMPLAUS   val_us=11456 refBig_us=11456
[COM12] cyl=2 seq=7 ev=IMPLAUS   val_us=15888 refBig_us=14640
[COM13] cyl=3 seq=7 ev=SYNCCAND  val_us=87104 refBig_us=9328
[COM13] cyl=3 seq=8 ev=IMPLAUS   val_us=12288 refBig_us=11648
[COM13] cyl=3 seq=9 ev=IMPLAUS   val_us=11424 refBig_us=11472
[COM13] cyl=3 seq=10 ev=SKIP      val_us=6608 refBig_us=11296
[COM12] cyl=2 seq=8 ev=IMPLAUS   val_us=53904 refBig_us=18288
[COM13] cyl=3 seq=11 ev=IMPLAUS   val_us=28704 refBig_us=14112
[COM11] cyl=1 seq=8 ev=SYNCCAND  val_us=96240 refBig_us=14320
[COM13] cyl=3 seq=12 ev=IMPLAUS   val_us=26800 refBig_us=17632
[COM13] cyl=3 seq=13 ev=SKIP      val_us=11680 refBig_us=17360
[COM11] cyl=1 seq=9 ev=IMPLAUS   val_us=34240 refBig_us=17888
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=97168 refBig_us=22848
[COM11] cyl=1 seq=10 ev=IMPLAUS   val_us=23728 refBig_us=22352
[COM11] cyl=1 seq=11 ev=SKIP      val_us=9808 refBig_us=22016
[COM12] cyl=2 seq=10 ev=IMPLAUS   val_us=32320 refBig_us=28560
[COM12] cyl=2 seq=11 ev=SKIP      val_us=4128 refBig_us=28128
