[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] cyl=2 seq=1 ev=SKIP      val_us=23720048 refBig_us=0
[COM12] cyl=2 seq=2 ev=SKIP      val_us=14192 refBig_us=14192
[COM13] cyl=3 seq=1 ev=SKIP      val_us=23736416 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=23737872 refBig_us=0
[COM12] cyl=2 seq=3 ev=SKIP      val_us=512 refBig_us=13984
[COM13] cyl=3 seq=2 ev=SKIP      val_us=5728 refBig_us=5728
[COM11] cyl=1 seq=2 ev=SKIP      val_us=4640 refBig_us=4640
[COM12] cyl=2 seq=4 ev=SKIP      val_us=6064 refBig_us=13776
[COM13] cyl=3 seq=3 ev=SKIP      val_us=1552 refBig_us=5648
[COM12] cyl=2 seq=5 ev=SKIP      val_us=6144 refBig_us=13568
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=23750048 refBig_us=5792
[COM13] cyl=3 seq=4 ev=REJECTED  val_us=23748976 refBig_us=5568
[COM12] cyl=2 seq=6 ev=SKIP      val_us=3552 refBig_us=13360
[COM11] cyl=1 seq=4 ev=SKIP      val_us=3952 refBig_us=5712
[COM13] cyl=3 seq=5 ev=SKIP      val_us=3216 refBig_us=5488
[COM11] cyl=1 seq=5 ev=SYNCCAND  val_us=10624 refBig_us=6672
[COM13] cyl=3 seq=6 ev=SYNCCAND  val_us=9152 refBig_us=5936
[COM13] cyl=3 seq=7 ev=SYNCFIRST val_us=7120 refBig_us=7120
[COM13] cyl=3 seq=8 ev=FIRED     val_us=7680 refBig_us=7680 period_us=7136 rpm=8408 resid_us=560 edgeToSpark_us=6496
[COM11] cyl=1 seq=6 ev=SYNCCAND  val_us=35280 refBig_us=8336
[COM13] cyl=3 seq=9 ev=RELOCK    val_us=33392 refBig_us=9600
[COM13] cyl=3 seq=10 ev=SKIP      val_us=2608 refBig_us=9456
[COM13] cyl=3 seq=11 ev=SYNCCAND  val_us=11360 refBig_us=9312
[COM12] cyl=2 seq=7 ev=REJECTED  val_us=23843136 refBig_us=16688
[COM11] cyl=1 seq=7 ev=SYNCCAND  val_us=66576 refBig_us=10416
[COM12] cyl=2 seq=8 ev=SYNCCAND  val_us=23808 refBig_us=20848
[COM11] cyl=1 seq=8 ev=SYNCCAND  val_us=11520 refBig_us=11520
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=33376 refBig_us=26048
[COM13] cyl=3 seq=12 ev=SYNCCAND  val_us=93888 refBig_us=11632
