[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] cyl=3 seq=1 ev=SKIP      val_us=23058816 refBig_us=0
[COM13] cyl=3 seq=2 ev=SKIP      val_us=4128 refBig_us=4128
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=23066848 refBig_us=4064
[COM13] cyl=3 seq=5 missed=1 ev=SKIP      val_us=864 refBig_us=3968
[COM13] cyl=3 seq=6 ev=IMPLAUS   val_us=8256 refBig_us=4960
[COM13] cyl=3 seq=7 ev=REJECTED  val_us=5280 refBig_us=5280
[COM11] cyl=1 seq=1 ev=SKIP      val_us=23083296 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=23085648 refBig_us=0
[COM13] cyl=3 seq=8 ev=IMPLAUS   val_us=6352 refBig_us=6352
[COM12] cyl=2 seq=2 ev=SKIP      val_us=8448 refBig_us=8448
[COM13] cyl=3 seq=9 ev=IMPLAUS   val_us=8416 refBig_us=7936
[COM11] cyl=1 seq=2 ev=SKIP      val_us=5856 refBig_us=5856
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=23098496 refBig_us=7312
[COM11] cyl=1 seq=4 ev=SKIP      val_us=3056 refBig_us=7200
[COM13] cyl=3 seq=14 missed=4 ev=SKIP      val_us=768 refBig_us=7376
[COM11] cyl=1 seq=5 ev=IMPLAUS   val_us=12640 refBig_us=8992
[COM13] cyl=3 seq=17 missed=2 ev=SKIP      val_us=752 refBig_us=7056
[COM11] cyl=1 seq=6 ev=IMPLAUS   val_us=7888 refBig_us=8864
[COM11] cyl=1 seq=7 ev=IMPLAUS   val_us=19072 refBig_us=11072
[COM13] cyl=3 seq=18 ev=IMPLAUS   val_us=57264 refBig_us=8816
[COM11] cyl=1 seq=8 ev=IMPLAUS   val_us=18816 refBig_us=13840
[COM13] cyl=3 seq=19 ev=SKIP      val_us=672 refBig_us=8688
[COM13] cyl=3 seq=20 ev=IMPLAUS   val_us=25568 refBig_us=10848
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=23185264 refBig_us=10560
[COM13] cyl=3 seq=21 ev=IMPLAUS   val_us=18720 refBig_us=13552
