[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] cyl=3 seq=1 ev=SKIP      val_us=23968976 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=23970368 refBig_us=0
[COM12] cyl=2 seq=1 ev=SKIP      val_us=23973296 refBig_us=0
[COM11] cyl=1 seq=2 ev=SKIP      val_us=3888 refBig_us=3888
[COM12] cyl=2 seq=2 ev=SKIP      val_us=6064 refBig_us=6064
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=23979376 refBig_us=4848
[COM12] cyl=2 seq=3 ev=SKIP      val_us=3888 refBig_us=5984
[COM12] cyl=2 seq=4 ev=SKIP      val_us=4160 refBig_us=5904
[COM12] cyl=2 seq=5 ev=SKIP      val_us=5072 refBig_us=5824
[COM12] cyl=2 seq=6 ev=SKIP      val_us=4864 refBig_us=5744
[COM12] cyl=2 seq=7 ev=REJECTED  val_us=24024208 refBig_us=7168
[COM12] cyl=2 seq=8 ev=SKIP      val_us=1968 refBig_us=7056
[COM11] cyl=1 seq=4 ev=SYNCCAND  val_us=51248 refBig_us=6048
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=15760 refBig_us=8816
[COM13] cyl=3 seq=2 ev=SKIP      val_us=84304 refBig_us=84304
[COM12] cyl=2 seq=10 ev=SYNCFIRST val_us=16816 refBig_us=11008
[COM12] cyl=2 seq=11 ev=FIRED     val_us=27728 refBig_us=13760 period_us=16624 rpm=3609 resid_us=-5904 edgeToSpark_us=14544
[COM11] cyl=1 seq=5 ev=SYNCCAND  val_us=69728 refBig_us=7552
[COM12] cyl=2 seq=12 ev=FIRED     val_us=11248 refBig_us=16400 period_us=16448 rpm=3647 resid_us=-5376 edgeToSpark_us=14384
[COM12] cyl=2 seq=13 ev=SKIP      val_us=4128 refBig_us=16144
[COM11] cyl=1 seq=6 ev=SYNCCAND  val_us=11424 refBig_us=9440
