[COM12] WATCHDOG: STALL gap_us=3000004
[COM11] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM12] cyl=2 seq=1 ev=SKIP      val_us=20899296 refBig_us=0
[COM12] cyl=2 seq=2 ev=SKIP      val_us=8960 refBig_us=8960
[COM13] cyl=3 seq=1 ev=SKIP      val_us=20910800 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=20911776 refBig_us=0
[COM12] cyl=2 seq=3 ev=REJECTED  val_us=20914896 refBig_us=8832
[COM11] cyl=1 seq=4 missed=2 ev=REJECTED  val_us=1568 refBig_us=1552
[COM12] cyl=2 seq=4 ev=SKIP      val_us=3952 refBig_us=8704
[COM13] cyl=3 seq=2 ev=SKIP      val_us=10256 refBig_us=10256
[COM11] cyl=1 seq=5 ev=REJECTED  val_us=3040 refBig_us=1936
[COM12] cyl=2 seq=5 ev=SKIP      val_us=3824 refBig_us=8576
[COM13] cyl=3 seq=3 ev=SKIP      val_us=3280 refBig_us=10096
[COM11] cyl=1 seq=7 missed=1 ev=SKIP      val_us=976 refBig_us=2384
[COM13] cyl=3 seq=4 ev=SKIP      val_us=5856 refBig_us=9952
[COM11] cyl=1 seq=8 ev=REJECTED  val_us=3968 refBig_us=2976
[COM11] cyl=1 seq=10 missed=1 ev=REJECTED  val_us=3248 refBig_us=3664
[COM11] cyl=1 seq=11 ev=IMPLAUS   val_us=26224 refBig_us=4576
[COM13] cyl=3 seq=5 ev=REJECTED  val_us=20970832 refBig_us=12432
[COM11] cyl=1 seq=12 ev=IMPLAUS   val_us=16160 refBig_us=5712
[COM11] cyl=1 seq=13 ev=SKIP      val_us=624 refBig_us=5632
[COM13] cyl=3 seq=6 ev=IMPLAUS   val_us=13344 refBig_us=13344
[COM11] cyl=1 seq=14 ev=IMPLAUS   val_us=31600 refBig_us=7040
[COM12] cyl=2 seq=6 ev=SYNCCAND  val_us=121904 refBig_us=10720
[COM11] cyl=1 seq=15 ev=IMPLAUS   val_us=26928 refBig_us=8800
[COM11] cyl=1 seq=16 ev=IMPLAUS   val_us=13216 refBig_us=10992
[COM13] cyl=3 seq=7 ev=IMPLAUS   val_us=95984 refBig_us=16672
[COM13] cyl=3 seq=8 ev=IMPLAUS   val_us=23872 refBig_us=20832
[COM12] cyl=2 seq=7 ev=IMPLAUS   val_us=71712 refBig_us=13392
[COM13] cyl=3 seq=9 ev=SKIP      val_us=7200 refBig_us=20512
[COM12] cyl=2 seq=8 ev=IMPLAUS   val_us=23344 refBig_us=16736
[COM11] cyl=1 seq=17 ev=SYNCCAND  val_us=115408 refBig_us=13728
[COM11] cyl=1 seq=18 ev=IMPLAUS   val_us=28816 refBig_us=17152
[COM13] cyl=3 seq=10 ev=SYNCCAND  val_us=108000 refBig_us=25632
[COM13] cyl=3 seq=11 ev=IMPLAUS   val_us=18096 refBig_us=25232
[COM11] cyl=1 seq=19 ev=SYNCCAND  val_us=116016 refBig_us=21440
[COM11] cyl=1 seq=20 ev=IMPLAUS   val_us=17552 refBig_us=21120
[COM12] cyl=2 seq=9 ev=SYNCCAND  val_us=203280 refBig_us=20912
[COM11] cyl=1 seq=21 ev=IMPLAUS   val_us=39760 refBig_us=26400
[COM11] cyl=1 seq=22 ev=SYNCCAND  val_us=147248 refBig_us=32992
[COM12] cyl=2 seq=10 ev=SYNCCAND  val_us=365312 refBig_us=26128
[COM12] cyl=2 seq=11 ev=SYNCCAND  val_us=928960 refBig_us=32656
[COM13] cyl=3 seq=12 ev=REJECTED  val_us=1401184 refBig_us=25232
[COM11] cyl=1 seq=23 ev=REJECTED  val_us=1117328 refBig_us=32992
[COM12] cyl=2 seq=13 missed=1 ev=SKIP      val_us=576 refBig_us=31664
[COM11] cyl=1 seq=25 missed=1 ev=SKIP      val_us=464 refBig_us=31984
[COM12] cyl=2 seq=14 ev=SKIP      val_us=6512 refBig_us=31184
[COM11] cyl=1 seq=27 missed=1 ev=SKIP      val_us=3120 refBig_us=31008
[COM12] cyl=2 seq=15 ev=SKIP      val_us=8272 refBig_us=30704
