[COM12] WATCHDOG: STALL gap_us=3000004
[COM13] WATCHDOG: STALL gap_us=3000016
[COM11] WATCHDOG: STALL gap_us=3000004
[COM12] cyl=2 seq=1 ev=SKIP      val_us=14247472 refBig_us=0
[COM13] cyl=3 seq=1 ev=SKIP      val_us=14249904 refBig_us=0
[COM11] cyl=1 seq=1 ev=SKIP      val_us=14254736 refBig_us=0
[COM13] cyl=3 seq=2 ev=SKIP      val_us=7424 refBig_us=7424
[COM13] cyl=3 seq=3 ev=REJECTED  val_us=14264352 refBig_us=7312
[COM13] cyl=3 seq=4 ev=SKIP      val_us=4080 refBig_us=7200
[COM11] cyl=1 seq=2 ev=SKIP      val_us=27552 refBig_us=27552
[COM13] cyl=3 seq=5 ev=SYNCCAND  val_us=32640 refBig_us=8992
[COM13] cyl=3 seq=7 missed=1 ev=SKIP      val_us=896 refBig_us=8736
[COM13] cyl=3 seq=8 ev=SYNCCAND  val_us=11520 refBig_us=8608
[COM13] cyl=3 seq=9 ev=REJECTED  val_us=5312 refBig_us=8480
[COM13] cyl=3 seq=10 ev=SYNCCAND  val_us=17296 refBig_us=10592
[COM12] cyl=2 seq=2 ev=SKIP      val_us=85872 refBig_us=85872
[COM13] cyl=3 seq=11 ev=SYNCCAND  val_us=12320 refBig_us=12320
[COM12] cyl=2 seq=3 ev=SKIP      val_us=14240 refBig_us=84544
[COM11] cyl=1 seq=3 ev=REJECTED  val_us=14368960 refBig_us=34432
[COM11] cyl=1 seq=4 ev=SKIP      val_us=14512 refBig_us=33904
[COM13] cyl=3 seq=12 ev=SYNCCAND  val_us=51056 refBig_us=15392
[COM13] cyl=3 seq=13 ev=SYNCCAND  val_us=9248 refBig_us=15152
[COM11] cyl=1 seq=5 ev=SYNCCAND  val_us=54128 refBig_us=39616
[COM12] cyl=2 seq=4 ev=REJECTED  val_us=14447040 refBig_us=99456
[COM11] cyl=1 seq=6 ev=SKIP      val_us=23488 refBig_us=39008
[COM12] cyl=2 seq=5 ev=SKIP      val_us=5104 refBig_us=97904
[COM11] cyl=1 seq=7 ev=SKIP      val_us=11936 refBig_us=38400
[COM13] cyl=3 seq=14 ev=SYNCCAND  val_us=91552 refBig_us=18928
[COM13] cyl=3 seq=15 ev=SYNCCAND  val_us=12576 refBig_us=18640
[COM12] cyl=2 seq=6 ev=SYNCCAND  val_us=67808 refBig_us=96384
[COM11] cyl=1 seq=8 ev=SYNCCAND  val_us=120976 refBig_us=48000
[COM11] cyl=1 seq=9 ev=SKIP      val_us=4384 refBig_us=47264
[COM13] cyl=3 seq=16 ev=SYNCCAND  val_us=47168 refBig_us=23296
[COM13] cyl=3 seq=17 ev=SKIP      val_us=9904 refBig_us=22944
[COM11] cyl=1 seq=10 ev=SYNCCAND  val_us=38448 refBig_us=46528
[COM12] cyl=2 seq=7 ev=SYNCFIRST val_us=89840 refBig_us=94880
[COM11] cyl=1 seq=11 ev=SKIP      val_us=23120 refBig_us=45808
[COM12] cyl=2 seq=8 ev=SKIP      val_us=5632 refBig_us=93408
[COM11] cyl=1 seq=12 ev=SKIP      val_us=9840 refBig_us=45104
[COM12] cyl=2 seq=9 ev=SKIP      val_us=32768 refBig_us=91952
[COM13] cyl=3 seq=18 ev=SYNCCAND  val_us=99792 refBig_us=28672
[COM12] cyl=2 seq=10 ev=SKIP      val_us=27232 refBig_us=90528
[COM11] cyl=1 seq=13 ev=SYNCCAND  val_us=123920 refBig_us=56368
[COM13] cyl=3 seq=19 ev=SYNCCAND  val_us=56576 refBig_us=35840
[COM13] cyl=3 seq=20 ev=SKIP      val_us=11296 refBig_us=35280
[COM11] cyl=1 seq=14 ev=SKIP      val_us=32432 refBig_us=55488
[COM11] cyl=1 seq=15 ev=SKIP      val_us=20128 refBig_us=54624
[COM12] cyl=2 seq=11 ev=FIRED     val_us=159584 refBig_us=93952 period_us=89200 rpm=672 resid_us=-20096 edgeToSpark_us=78048
[COM11] cyl=1 seq=16 ev=SKIP      val_us=12752 refBig_us=53776
[COM13] cyl=3 seq=21 ev=SYNCCAND  val_us=108720 refBig_us=44096
[COM12] cyl=2 seq=12 ev=EARLY     val_us=42704 refBig_us=92496
[COM11] cyl=1 seq=17 ev=SYNCFIRST val_us=155248 refBig_us=67216
[COM13] cyl=3 seq=22 ev=SYNCCAND  val_us=47760 refBig_us=47760
[COM13] cyl=3 seq=23 ev=SKIP      val_us=9104 refBig_us=47024
[COM11] cyl=1 seq=18 ev=SKIP      val_us=32528 refBig_us=66176
[COM11] cyl=1 seq=19 ev=SKIP      val_us=23424 refBig_us=65152
