one_cyl_ignition DEBUG build
one_cyl_ignition DEBUG build
WATCHDOG: STALL gap_us=3000008
seq=1 ev=REJECTED  interval_us=19126416 blank_us=2992
seq=3 missed=1 ev=BLANKED   interval_us=624 blank_us=2992
seq=5 missed=1 ev=REJECTED  interval_us=3696 blank_us=2992
seq=6 ev=SYNCCAND  interval_us=35872 blank_us=2992
seq=7 ev=SYNCCAND  interval_us=60464 blank_us=17936
seq=8 ev=BLANKED   interval_us=12048 blank_us=30224
seq=9 ev=BLANKED   interval_us=15712 blank_us=30224
seq=10 ev=SYNCFIRST interval_us=63760 blank_us=30224
seq=11 ev=BLANKED   interval_us=22384 blank_us=31872
seq=12 ev=FIRED     interval_us=34576 blank_us=31872 period_us=34576 rpm=1735 edgeToSpark_us=30240
seq=13 ev=TWINMISS  interval_us=89936 blank_us=17280
seq=14 ev=BLANKED   interval_us=37472 blank_us=44960
seq=15 ev=SYNCCAND  interval_us=57968 blank_us=44960
seq=16 ev=BLANKED   interval_us=11856 blank_us=28976
seq=17 ev=SYNCCAND  interval_us=97408 blank_us=28976
seq=18 ev=BLANKED   interval_us=38208 blank_us=48704
seq=19 ev=SYNCCAND  interval_us=60464 blank_us=48704
seq=20 ev=BLANKED   interval_us=10480 blank_us=30224
seq=21 ev=SYNCCAND  interval_us=99360 blank_us=30224
seq=22 ev=BLANKED   interval_us=33408 blank_us=49680
seq=23 ev=SYNCCAND  interval_us=56080 blank_us=49680
seq=24 ev=BLANKED   interval_us=9376 blank_us=28032
seq=25 ev=SYNCCAND  interval_us=95024 blank_us=28032
seq=26 ev=BLANKED   interval_us=4080 blank_us=47504
seq=27 ev=BLANKED   interval_us=37040 blank_us=47504
seq=28 ev=SYNCCAND  interval_us=57456 blank_us=47504
seq=29 ev=BLANKED   interval_us=12496 blank_us=28720
seq=30 ev=SYNCCAND  interval_us=100816 blank_us=28720
seq=31 ev=BLANKED   interval_us=34800 blank_us=50400
seq=32 ev=SYNCCAND  interval_us=57840 blank_us=50400
seq=33 ev=BLANKED   interval_us=11040 blank_us=28912
seq=34 ev=SYNCCAND  interval_us=97024 blank_us=28912
seq=35 ev=BLANKED   interval_us=35408 blank_us=48512
seq=36 ev=BLANKED   interval_us=40544 blank_us=48512
seq=37 ev=SYNCCAND  interval_us=54480 blank_us=48512
seq=38 ev=BLANKED   interval_us=14784 blank_us=27232
seq=39 ev=SYNCCAND  interval_us=100496 blank_us=27232
seq=40 ev=BLANKED   interval_us=37280 blank_us=50240
seq=41 ev=SYNCCAND  interval_us=59888 blank_us=50240
seq=42 ev=BLANKED   interval_us=11952 blank_us=29936
seq=43 ev=SYNCCAND  interval_us=133504 blank_us=29936
seq=44 ev=BLANKED   interval_us=16432 blank_us=66752
seq=45 ev=BLANKED   interval_us=33184 blank_us=66752
seq=46 ev=SYNCCAND  interval_us=178560 blank_us=66752
seq=47 ev=BLANKED   interval_us=9952 blank_us=89280
seq=48 ev=SYNCCAND  interval_us=100064 blank_us=89280
seq=49 ev=BLANKED   interval_us=33856 blank_us=50032
seq=50 ev=SYNCCAND  interval_us=54896 blank_us=50032
seq=51 ev=BLANKED   interval_us=11728 blank_us=27440
seq=52 ev=SYNCCAND  interval_us=101504 blank_us=27440
seq=53 ev=BLANKED   interval_us=33616 blank_us=50752
seq=54 ev=SYNCCAND  interval_us=54688 blank_us=50752
seq=55 ev=BLANKED   interval_us=11984 blank_us=27344
seq=56 ev=SYNCCAND  interval_us=135760 blank_us=27344
seq=57 ev=BLANKED   interval_us=20704 blank_us=67872
seq=58 ev=BLANKED   interval_us=32096 blank_us=67872
seq=59 ev=SYNCFIRST interval_us=120976 blank_us=67872
seq=60 ev=BLANKED   interval_us=33968 blank_us=60480
seq=61 ev=BLANKED   interval_us=55152 blank_us=60480
seq=62 ev=FIRED     interval_us=66976 blank_us=60480 period_us=66976 rpm=895 edgeToSpark_us=58592
seq=63 ev=TWINMISS  interval_us=90624 blank_us=33488
seq=64 ev=BLANKED   interval_us=33552 blank_us=45312
seq=65 ev=SYNCCAND  interval_us=51728 blank_us=45312
seq=66 ev=BLANKED   interval_us=16624 blank_us=25856
seq=67 ev=SYNCCAND  interval_us=138592 blank_us=25856
seq=68 ev=BLANKED   interval_us=17376 blank_us=69296
seq=69 ev=BLANKED   interval_us=34176 blank_us=69296
seq=70 ev=SYNCFIRST interval_us=158032 blank_us=69296
seq=71 ev=BLANKED   interval_us=21536 blank_us=79008
seq=72 ev=BLANKED   interval_us=32656 blank_us=79008
seq=73 ev=FIRED     interval_us=123280 blank_us=79008 period_us=123280 rpm=486 edgeToSpark_us=107856
seq=74 ev=BLANKED   interval_us=34480 blank_us=61632
seq=75 ev=BLANKED   interval_us=56400 blank_us=61632
seq=76 ev=FIRED     interval_us=68832 blank_us=61632 period_us=68832 rpm=871 edgeToSpark_us=60224
seq=77 ev=TWINMISS  interval_us=123008 blank_us=34416
seq=78 ev=BLANKED   interval_us=18736 blank_us=61504
seq=79 ev=BLANKED   interval_us=32704 blank_us=61504
seq=80 ev=SYNCFIRST interval_us=122848 blank_us=61504
seq=81 ev=BLANKED   interval_us=34240 blank_us=61424
seq=82 ev=BLANKED   interval_us=55168 blank_us=61424
seq=83 ev=FIRED     interval_us=67328 blank_us=61424 period_us=67328 rpm=891 edgeToSpark_us=58912
seq=84 ev=TWINMISS  interval_us=91808 blank_us=33664
seq=85 ev=BLANKED   interval_us=34288 blank_us=45904
seq=86 ev=SYNCCAND  interval_us=57248 blank_us=45904
seq=87 ev=BLANKED   interval_us=10272 blank_us=28624
seq=88 ev=SYNCCAND  interval_us=96240 blank_us=28624
seq=89 ev=BLANKED   interval_us=38000 blank_us=48112
seq=90 ev=SYNCCAND  interval_us=57872 blank_us=48112
seq=91 ev=BLANKED   interval_us=12608 blank_us=28928
seq=92 ev=SYNCCAND  interval_us=97952 blank_us=28928
seq=93 ev=BLANKED   interval_us=5136 blank_us=48976
seq=94 ev=BLANKED   interval_us=38400 blank_us=48976
seq=95 ev=SYNCCAND  interval_us=59568 blank_us=48976
seq=96 ev=BLANKED   interval_us=12592 blank_us=29776
seq=97 ev=SYNCCAND  interval_us=98832 blank_us=29776
seq=98 ev=BLANKED   interval_us=38400 blank_us=49408
