one_cyl_ignition LANDMARK experiment build
one_cyl_ignition LANDMARK experiment build
WATCHDOG: STALL gap_us=3000012
seq=1 ev=SKIP      val_us=24536912 refBig_us=0
seq=2 ev=SKIP      val_us=1008 refBig_us=1008
seq=3 ev=REJECTED  val_us=24541552 refBig_us=3632
seq=4 ev=SYNCCAND  val_us=17984 refBig_us=17984
seq=5 ev=SYNCCAND  val_us=78576 refBig_us=78576
seq=6 ev=SKIP      val_us=6400 refBig_us=77360
seq=7 ev=SKIP      val_us=11728 refBig_us=76160
seq=8 ev=SYNCCAND  val_us=118896 refBig_us=100768
seq=9 ev=SKIP      val_us=34944 refBig_us=99200
seq=10 ev=SKIP      val_us=22800 refBig_us=97664
seq=11 ev=SKIP      val_us=10784 refBig_us=96144
seq=12 ev=SYNCFIRST val_us=157152 refBig_us=94656
seq=13 ev=RATEJUMP  val_us=59184 refBig_us=93184
seq=14 ev=SKIP      val_us=11952 refBig_us=91728
seq=15 ev=SYNCCAND  val_us=99136 refBig_us=90304
seq=16 ev=SKIP      val_us=37808 refBig_us=88896
seq=17 ev=SKIP      val_us=22368 refBig_us=87520
seq=18 ev=SKIP      val_us=12368 refBig_us=86160
seq=19 ev=SYNCCAND  val_us=160256 refBig_us=87712
seq=20 ev=SKIP      val_us=36640 refBig_us=86352
seq=21 ev=SKIP      val_us=23168 refBig_us=85008
seq=22 ev=SKIP      val_us=9360 refBig_us=83680
seq=23 ev=SYNCFIRST val_us=158976 refBig_us=89808
seq=24 ev=SKIP      val_us=36752 refBig_us=88416
seq=25 ev=SKIP      val_us=20784 refBig_us=87040
seq=26 ev=SKIP      val_us=10240 refBig_us=85680
seq=27 ev=FIRED     val_us=157424 refBig_us=89648 period_us=157424 rpm=381 edgeToSpark_us=137744
seq=28 ev=SKIP      val_us=35248 refBig_us=88256
seq=29 ev=SKIP      val_us=21552 refBig_us=86880
seq=30 ev=SKIP      val_us=11520 refBig_us=85536
seq=31 ev=FIRED     val_us=158960 refBig_us=90640 period_us=158960 rpm=377 edgeToSpark_us=139088
seq=32 ev=SKIP      val_us=33744 refBig_us=89232
seq=33 ev=SKIP      val_us=18736 refBig_us=87840
seq=34 ev=SKIP      val_us=13648 refBig_us=86480
seq=35 ev=FIRED     val_us=155232 refBig_us=89104 period_us=155232 rpm=386 edgeToSpark_us=135824
seq=36 ev=SKIP      val_us=34160 refBig_us=87712
seq=37 ev=SKIP      val_us=19744 refBig_us=86352
seq=38 ev=SKIP      val_us=13680 refBig_us=85008
seq=39 ev=FIRED     val_us=191264 refBig_us=123680 period_us=191264 rpm=313 edgeToSpark_us=167344
seq=40 ev=SKIP      val_us=22928 refBig_us=121760
seq=41 ev=SKIP      val_us=9952 refBig_us=119872
seq=42 ev=FIRED     val_us=121792 refBig_us=118000 period_us=121792 rpm=492 edgeToSpark_us=106560
