one_cyl_ignition LANDMARK-PLL experiment build
one_cyl_ignition LANDMARK-PLL experiment build
WATCHDOG: STALL gap_us=3000012
seq=1 ev=SKIP      val_us=26052080 refBig_us=0
seq=2 ev=SKIP      val_us=56224 refBig_us=56224
seq=3 ev=SKIP      val_us=7664 refBig_us=55360
seq=4 ev=REJECTED  val_us=26158256 refBig_us=54496
seq=5 ev=SKIP      val_us=23840 refBig_us=53648
seq=6 ev=SKIP      val_us=14096 refBig_us=52816
seq=7 ev=SYNCCAND  val_us=125984 refBig_us=66016
seq=8 ev=SKIP      val_us=36688 refBig_us=64992
seq=9 ev=SKIP      val_us=20048 refBig_us=63984
seq=10 ev=SKIP      val_us=14016 refBig_us=62992
seq=11 ev=SYNCCAND  val_us=191648 refBig_us=78736
seq=12 ev=SKIP      val_us=17904 refBig_us=77520
seq=13 ev=SKIP      val_us=14288 refBig_us=76320
seq=14 ev=SYNCFIRST val_us=152576 refBig_us=95392
seq=15 ev=SKIP      val_us=17968 refBig_us=93904
seq=16 ev=SKIP      val_us=14320 refBig_us=92448
seq=17 ev=FIRED     val_us=175680 refBig_us=115552 period_us=153296 rpm=391 resid_us=23104 edgeToSpark_us=134128
seq=18 ev=SKIP      val_us=10816 refBig_us=113760
seq=19 ev=FIRED     val_us=150032 refBig_us=118992 period_us=153184 rpm=391 resid_us=-3264 edgeToSpark_us=134032
seq=20 ev=SKIP      val_us=19552 refBig_us=117136
seq=21 ev=SKIP      val_us=14192 refBig_us=115312
seq=22 ev=FIRED     val_us=150944 refBig_us=120048 period_us=153104 rpm=391 resid_us=-2240 edgeToSpark_us=133952
seq=23 ev=SKIP      val_us=22672 refBig_us=118176
seq=24 ev=SKIP      val_us=9856 refBig_us=116336
seq=25 ev=FIRED     val_us=152400 refBig_us=121824 period_us=153072 rpm=391 resid_us=-704 edgeToSpark_us=133936
seq=26 ev=SKIP      val_us=21376 refBig_us=119936
seq=27 ev=SKIP      val_us=10704 refBig_us=118064
seq=28 ev=FIRED     val_us=171888 refBig_us=140416 period_us=153648 rpm=390 resid_us=18816 edgeToSpark_us=134432
seq=29 ev=SKIP      val_us=12128 refBig_us=138224
seq=30 ev=FIRED     val_us=150736 refBig_us=136080 period_us=153552 rpm=390 resid_us=-2912 edgeToSpark_us=134352
seq=31 ev=SKIP      val_us=21232 refBig_us=133968
seq=32 ev=SKIP      val_us=11040 refBig_us=131888
seq=33 ev=FIRED     val_us=151648 refBig_us=129840 period_us=153488 rpm=390 resid_us=-1904 edgeToSpark_us=134288
seq=34 ev=SKIP      val_us=21824 refBig_us=127824
seq=35 ev=SKIP      val_us=9296 refBig_us=125840
seq=36 ev=FIRED     val_us=151760 refBig_us=123888 period_us=153424 rpm=391 resid_us=-1728 edgeToSpark_us=134240
seq=37 ev=SKIP      val_us=19008 refBig_us=121968
seq=38 ev=SKIP      val_us=12928 refBig_us=120064
seq=39 ev=FIRED     val_us=152416 refBig_us=121984 period_us=153392 rpm=391 resid_us=-1008 edgeToSpark_us=134208
seq=40 ev=SKIP      val_us=21904 refBig_us=120080
seq=41 ev=SKIP      val_us=11792 refBig_us=118208
seq=42 ev=FIRED     val_us=152928 refBig_us=120112 period_us=153376 rpm=391 resid_us=-464 edgeToSpark_us=134192
seq=43 ev=SKIP      val_us=19040 refBig_us=118240
seq=44 ev=SKIP      val_us=3952 refBig_us=116400
seq=45 ev=SKIP      val_us=9376 refBig_us=114592
seq=46 ev=FIRED     val_us=172000 refBig_us=140032 period_us=153952 rpm=389 resid_us=18624 edgeToSpark_us=134704
seq=47 ev=SKIP      val_us=15264 refBig_us=137856
seq=48 ev=FIRED     val_us=154432 refBig_us=135712 period_us=153952 rpm=389 resid_us=480 edgeToSpark_us=134704
seq=49 ev=SKIP      val_us=18064 refBig_us=133600
seq=50 ev=SKIP      val_us=15424 refBig_us=131520
