one_cyl_ignition LANDMARK experiment build
one_cyl_ignition LANDMARK experiment build
WATCHDOG: STALL gap_us=3000012
seq=1 ev=SKIP      val_us=27651216 refBig_us=0
seq=2 ev=SKIP      val_us=3056 refBig_us=3056
seq=3 ev=REJECTED  val_us=27660656 refBig_us=3808
seq=4 ev=SYNCCAND  val_us=16240 refBig_us=4752
seq=5 ev=SYNCCAND  val_us=86752 refBig_us=5936
seq=6 ev=SYNCCAND  val_us=22128 refBig_us=7408
seq=7 ev=SYNCCAND  val_us=99952 refBig_us=9248
seq=8 ev=SYNCCAND  val_us=38592 refBig_us=11552
seq=9 ev=SYNCCAND  val_us=21680 refBig_us=14432
seq=10 ev=SYNCCAND  val_us=14896 refBig_us=14896
seq=11 ev=SYNCCAND  val_us=96848 refBig_us=18608
seq=12 ev=SYNCCAND  val_us=38416 refBig_us=23248
seq=13 ev=SYNCCAND  val_us=23904 refBig_us=23904
seq=14 ev=SKIP      val_us=12352 refBig_us=23536
seq=15 ev=SYNCCAND  val_us=108816 refBig_us=29408
seq=16 ev=SYNCCAND  val_us=65056 refBig_us=36752
seq=17 ev=SKIP      val_us=12976 refBig_us=36192
seq=18 ev=SYNCCAND  val_us=107152 refBig_us=45232
seq=19 ev=SYNCCAND  val_us=41376 refBig_us=44528
seq=20 ev=SKIP      val_us=25024 refBig_us=43840
seq=21 ev=SKIP      val_us=10944 refBig_us=43168
seq=22 ev=SYNCCAND  val_us=128528 refBig_us=53952
seq=23 ev=SYNCCAND  val_us=41168 refBig_us=53120
seq=24 ev=SKIP      val_us=6176 refBig_us=52304
seq=25 ev=SKIP      val_us=19536 refBig_us=51488
seq=26 ev=SKIP      val_us=10784 refBig_us=50688
seq=27 ev=SYNCCAND  val_us=131904 refBig_us=63360
seq=28 ev=SYNCCAND  val_us=41776 refBig_us=62384
seq=29 ev=SKIP      val_us=6512 refBig_us=61424
seq=30 ev=SKIP      val_us=19872 refBig_us=60480
seq=31 ev=SKIP      val_us=11152 refBig_us=59536
seq=32 ev=SYNCCAND  val_us=132976 refBig_us=74416
seq=33 ev=SYNCCAND  val_us=62992 refBig_us=73264
seq=34 ev=SKIP      val_us=9888 refBig_us=72128
seq=35 ev=SYNCCAND  val_us=102848 refBig_us=90160
seq=36 ev=SYNCCAND  val_us=62544 refBig_us=88752
seq=37 ev=SKIP      val_us=12080 refBig_us=87376
seq=38 ev=SYNCCAND  val_us=109568 refBig_us=97488
seq=39 ev=SKIP      val_us=38352 refBig_us=95968
seq=40 ev=SKIP      val_us=16992 refBig_us=94480
seq=41 ev=SKIP      val_us=5472 refBig_us=93008
seq=42 ev=SKIP      val_us=14704 refBig_us=91568
seq=43 ev=SYNCCAND  val_us=171040 refBig_us=95520
seq=44 ev=SKIP      val_us=37200 refBig_us=94032
seq=45 ev=SKIP      val_us=18368 refBig_us=92576
seq=46 ev=SKIP      val_us=17712 refBig_us=91136
seq=47 ev=SYNCFIRST val_us=168736 refBig_us=95456
seq=48 ev=RATEJUMP  val_us=61552 refBig_us=93968
seq=49 ev=SKIP      val_us=14144 refBig_us=92512
seq=50 ev=SYNCCAND  val_us=110288 refBig_us=96144
seq=51 ev=SYNCCAND  val_us=58320 refBig_us=94656
seq=52 ev=SKIP      val_us=11920 refBig_us=93184
seq=53 ev=SYNCCAND  val_us=106800 refBig_us=94880
seq=54 ev=SKIP      val_us=37616 refBig_us=93408
seq=55 ev=SKIP      val_us=25104 refBig_us=91952
