one_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDone_cyl_ignition LANDMARK-PLL experiment build
timing: AFTER_EDGE_DEG=315 TRIGGER_ANGLE_BTDC=330 ADVANCE_BTDC=15
WATCHDOG: STALL gap_us=3000012
seq=1 ev=SKIP      val_us=82447920 refBig_us=0
seq=2 ev=SKIP      val_us=5056 refBig_us=5056
seq=3 ev=REJECTED  val_us=82473520 refBig_us=6320
seq=4 ev=REJECTED  val_us=4864 refBig_us=6224
seq=5 ev=SYNCCAND  val_us=35952 refBig_us=7776
seq=6 ev=SYNCCAND  val_us=25872 refBig_us=9712
seq=7 ev=SYNCCAND  val_us=17184 refBig_us=12128
seq=8 ev=SYNCCAND  val_us=88064 refBig_us=15152
seq=9 ev=SYNCCAND  val_us=18976 refBig_us=18928
seq=10 ev=SYNCCAND  val_us=43216 refBig_us=23648
seq=11 ev=SKIP      val_us=9232 refBig_us=23280
seq=12 ev=SYNCCAND  val_us=99168 refBig_us=29088
seq=13 ev=SYNCCAND  val_us=43424 refBig_us=36352
seq=14 ev=SKIP      val_us=8960 refBig_us=35792
seq=15 ev=SYNCCAND  val_us=133280 refBig_us=44736
seq=16 ev=SKIP      val_us=7952 refBig_us=44048
seq=17 ev=SYNCFIRST val_us=129536 refBig_us=55056
seq=18 ev=SKIP      val_us=7632 refBig_us=54208
seq=19 ev=FIRED     val_us=128992 refBig_us=67760 period_us=129504 rpm=463 resid_us=-544 edgeToSpark_us=113312
seq=20 ev=SKIP      val_us=7728 refBig_us=66704
seq=21 ev=FIRED     val_us=129152 refBig_us=83376 period_us=129488 rpm=463 resid_us=-352 edgeToSpark_us=113296
seq=22 ev=SKIP      val_us=8016 refBig_us=82080
seq=23 ev=FIRED     val_us=130048 refBig_us=102592 period_us=129504 rpm=463 resid_us=560 edgeToSpark_us=113312
seq=24 ev=SKIP      val_us=8736 refBig_us=100992
seq=25 ev=FIRED     val_us=130672 refBig_us=121440 period_us=129536 rpm=463 resid_us=1168 edgeToSpark_us=113344
seq=26 ev=SKIP      val_us=8192 refBig_us=119552
seq=27 ev=FIRED     val_us=132064 refBig_us=122848 period_us=129600 rpm=462 resid_us=2528 edgeToSpark_us=113392
seq=28 ev=SKIP      val_us=7648 refBig_us=120944
seq=29 ev=FIRED     val_us=132512 refBig_us=122640 period_us=129680 rpm=462 resid_us=2912 edgeToSpark_us=113456
seq=30 ev=SKIP      val_us=7840 refBig_us=120736
seq=31 ev=FIRED     val_us=132784 refBig_us=122384 period_us=129776 rpm=462 resid_us=3104 edgeToSpark_us=113552
seq=32 ev=SKIP      val_us=7712 refBig_us=120480
seq=33 ev=FIRED     val_us=132544 refBig_us=122112 period_us=129856 rpm=462 resid_us=2768 edgeToSpark_us=113616
seq=34 ev=SKIP      val_us=7648 refBig_us=120208
seq=35 ev=FIRED     val_us=132528 refBig_us=122448 period_us=129936 rpm=461 resid_us=2672 edgeToSpark_us=113680
seq=36 ev=SKIP      val_us=7472 refBig_us=120544
seq=37 ev=FIRED     val_us=132688 refBig_us=122864 period_us=130016 rpm=461 resid_us=2752 edgeToSpark_us=113760
seq=38 ev=SKIP      val_us=7392 refBig_us=120960
seq=39 ev=FIRED     val_us=132544 refBig_us=122736 period_us=130080 rpm=461 resid_us=2528 edgeToSpark_us=113808
seq=40 ev=SKIP      val_us=8112 refBig_us=120832
