---- summary ----
edges=678 dropped=0
pulse_us  min=16 max=606331584 avg=1822080
gap_short_us (twin gap, <5000) min=176 max=4992
gap_long_us  (rev gap, >=5000) min=5008 max=26208
-----------------
noise canceler ON
EDGE=FALL pulse_us=262159232
EDGE=RISE gap_us=29456
EDGE=FALL pulse_us=11744800
EDGE=RISE gap_us=10608
EDGE=FALL pulse_us=102016
EDGE=RISE gap_us=17168
EDGE=FALL pulse_us=548992
EDGE=RISE gap_us=13888
EDGE=FALL pulse_us=706608
EDGE=RISE gap_us=20208
EDGE=FALL pulse_us=4192
EDGE=RISE gap_us=7264
EDGE=FALL pulse_us=97472
EDGE=RISE gap_us=22192
EDGE=FALL pulse_us=249024
EDGE=RISE gap_us=28464
EDGE=FALL pulse_us=4768
EDGE=RISE gap_us=9248
EDGE=FALL pulse_us=106912
EDGE=RISE gap_us=11232
EDGE=FALL pulse_us=37328
EDGE=RISE gap_us=4416
EDGE=FALL pulse_us=3264
EDGE=RISE gap_us=17424
EDGE=FALL pulse_us=3408
EDGE=RISE gap_us=6416
EDGE=FALL pulse_us=118432
EDGE=RISE gap_us=4992
EDGE=FALL pulse_us=2704
EDGE=RISE gap_us=16464
EDGE=FALL pulse_us=3600
EDGE=RISE gap_us=5664
EDGE=FALL pulse_us=124160
EDGE=RISE gap_us=14832
EDGE=FALL pulse_us=4608
EDGE=RISE gap_us=6624
EDGE=FALL pulse_us=115536
EDGE=RISE gap_us=23920
EDGE=FALL pulse_us=3568
EDGE=RISE gap_us=6032
EDGE=FALL pulse_us=116000
EDGE=RISE gap_us=3328
EDGE=FALL pulse_us=3344
EDGE=RISE gap_us=16480
EDGE=FALL pulse_us=4048
EDGE=RISE gap_us=7168
EDGE=FALL pulse_us=115472
EDGE=RISE gap_us=4048
EDGE=FALL pulse_us=3184
EDGE=RISE gap_us=16576
EDGE=FALL pulse_us=3504
EDGE=RISE gap_us=6048
EDGE=FALL pulse_us=116320
EDGE=RISE gap_us=21280
EDGE=FALL pulse_us=6512
EDGE=RISE gap_us=5904
EDGE=FALL pulse_us=119408
EDGE=RISE gap_us=3168
EDGE=FALL pulse_us=4864
EDGE=RISE gap_us=18464
EDGE=FALL pulse_us=3776
EDGE=RISE gap_us=8416
EDGE=FALL pulse_us=126112
EDGE=RISE gap_us=13184
EDGE=FALL pulse_us=8256
EDGE=RISE gap_us=5616
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=12064
EDGE=FALL pulse_us=31360
EDGE=RISE gap_us=2352
EDGE=FALL pulse_us=6560
EDGE=RISE gap_us=17264
EDGE=FALL pulse_us=3872
EDGE=RISE gap_us=6352
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=6544
EDGE=FALL pulse_us=30096
EDGE=RISE gap_us=3680
EDGE=FALL pulse_us=3424
EDGE=RISE gap_us=17328
EDGE=FALL pulse_us=3600
EDGE=RISE gap_us=5360
EDGE=FALL pulse_us=116848
EDGE=RISE gap_us=3376
EDGE=FALL pulse_us=4384
EDGE=RISE gap_us=14512
EDGE=FALL pulse_us=5952
EDGE=RISE gap_us=5952
EDGE=FALL pulse_us=116736
EDGE=RISE gap_us=24528
EDGE=FALL pulse_us=3232
EDGE=RISE gap_us=6784
EDGE=FALL pulse_us=115424
EDGE=RISE gap_us=3520
EDGE=FALL pulse_us=4384
EDGE=RISE gap_us=16944
EDGE=FALL pulse_us=3392
EDGE=RISE gap_us=5616
EDGE=FALL pulse_us=116528
EDGE=RISE gap_us=5184
EDGE=FALL pulse_us=2480
EDGE=RISE gap_us=17296
EDGE=FALL pulse_us=3296
EDGE=RISE gap_us=6096
EDGE=FALL pulse_us=116032
EDGE=RISE gap_us=24496
EDGE=FALL pulse_us=3888
EDGE=RISE gap_us=5792
EDGE=FALL pulse_us=116544
EDGE=RISE gap_us=3680
EDGE=FALL pulse_us=3696
EDGE=RISE gap_us=15216
EDGE=FALL pulse_us=5184
EDGE=RISE gap_us=6992
EDGE=FALL pulse_us=123856
EDGE=RISE gap_us=13088
EDGE=FALL pulse_us=7312
EDGE=RISE gap_us=5952
EDGE=FALL pulse_us=131344
EDGE=RISE gap_us=14736
EDGE=FALL pulse_us=7136
EDGE=RISE gap_us=5856
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=5088
EDGE=FALL pulse_us=30912
EDGE=RISE gap_us=3600
EDGE=FALL pulse_us=4400
EDGE=RISE gap_us=16080
EDGE=FALL pulse_us=4208
EDGE=RISE gap_us=6960
EDGE=FALL pulse_us=115984
EDGE=RISE gap_us=3264
EDGE=FALL pulse_us=4512
EDGE=RISE gap_us=17840
EDGE=FALL pulse_us=3248
EDGE=RISE gap_us=5392
EDGE=FALL pulse_us=117312
EDGE=RISE gap_us=22688
EDGE=FALL pulse_us=5392
EDGE=RISE gap_us=6160
EDGE=FALL pulse_us=116560
EDGE=RISE gap_us=3936
EDGE=FALL pulse_us=3536
EDGE=RISE gap_us=17744
EDGE=FALL pulse_us=3424
EDGE=RISE gap_us=5744
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=5776
EDGE=FALL pulse_us=31904
EDGE=RISE gap_us=3152
EDGE=FALL pulse_us=4432
EDGE=RISE gap_us=14224
EDGE=FALL pulse_us=6400
EDGE=RISE gap_us=6496
EDGE=FALL pulse_us=117216
EDGE=RISE gap_us=3808
EDGE=FALL pulse_us=3584
EDGE=RISE gap_us=18144
EDGE=FALL pulse_us=2944
EDGE=RISE gap_us=5536
EDGE=FALL pulse_us=117584
EDGE=RISE gap_us=4272
EDGE=FALL pulse_us=3216
EDGE=RISE gap_us=16112
EDGE=FALL pulse_us=4592
EDGE=RISE gap_us=5680
EDGE=FALL pulse_us=117216
EDGE=RISE gap_us=3216
EDGE=FALL pulse_us=4144
EDGE=RISE gap_us=17184
EDGE=FALL pulse_us=3616
EDGE=RISE gap_us=6032
EDGE=FALL pulse_us=117264
EDGE=RISE gap_us=4848
EDGE=FALL pulse_us=2624
EDGE=RISE gap_us=17328
EDGE=FALL pulse_us=3408
EDGE=RISE gap_us=6256
EDGE=FALL pulse_us=116864
EDGE=RISE gap_us=23056
EDGE=FALL pulse_us=5120
EDGE=RISE gap_us=5968
EDGE=FALL pulse_us=117104
EDGE=RISE gap_us=3696
EDGE=FALL pulse_us=3904
EDGE=RISE gap_us=17200
EDGE=FALL pulse_us=3408
EDGE=RISE gap_us=5968
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7424
EDGE=FALL pulse_us=32656
EDGE=RISE gap_us=3408
EDGE=FALL pulse_us=4208
EDGE=RISE gap_us=17344
EDGE=FALL pulse_us=5696
EDGE=RISE gap_us=6240
EDGE=FALL pulse_us=84416
EDGE=RISE gap_us=12608
EDGE=FALL pulse_us=33952
EDGE=RISE gap_us=3360
EDGE=FALL pulse_us=4816
EDGE=RISE gap_us=16864
EDGE=FALL pulse_us=3936
EDGE=RISE gap_us=7344
EDGE=FALL pulse_us=126256
EDGE=RISE gap_us=12976
EDGE=FALL pulse_us=7792
EDGE=RISE gap_us=5936
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=10192
EDGE=FALL pulse_us=40272
EDGE=RISE gap_us=18192
EDGE=FALL pulse_us=3360
EDGE=RISE gap_us=6016
EDGE=FALL pulse_us=128416
EDGE=RISE gap_us=17120
EDGE=FALL pulse_us=3168
EDGE=RISE gap_us=5424
EDGE=FALL pulse_us=117856
EDGE=RISE gap_us=3296
EDGE=FALL pulse_us=4224
EDGE=RISE gap_us=19232
EDGE=FALL pulse_us=2176
EDGE=RISE gap_us=5744
EDGE=FALL pulse_us=117376
EDGE=RISE gap_us=3424
EDGE=FALL pulse_us=3520
EDGE=RISE gap_us=17744
EDGE=FALL pulse_us=3616
EDGE=RISE gap_us=6016
EDGE=FALL pulse_us=125808
EDGE=RISE gap_us=16544
EDGE=FALL pulse_us=3632
EDGE=RISE gap_us=5632
EDGE=FALL pulse_us=118064
EDGE=RISE gap_us=3120
EDGE=FALL pulse_us=4160
EDGE=RISE gap_us=15760
EDGE=FALL pulse_us=4944
EDGE=RISE gap_us=6320
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=5728
EDGE=FALL pulse_us=33728
EDGE=RISE gap_us=3184
EDGE=FALL pulse_us=4784
EDGE=RISE gap_us=19680
EDGE=FALL pulse_us=3632
EDGE=RISE gap_us=6768
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=8576
EDGE=FALL pulse_us=37664
EDGE=RISE gap_us=17248
EDGE=FALL pulse_us=3120
EDGE=RISE gap_us=5664
EDGE=FALL pulse_us=118064
EDGE=RISE gap_us=3664
EDGE=FALL pulse_us=3680
EDGE=RISE gap_us=16048
EDGE=FALL pulse_us=4864
EDGE=RISE gap_us=6288
EDGE=FALL pulse_us=125392
EDGE=RISE gap_us=17200
EDGE=FALL pulse_us=3536
EDGE=RISE gap_us=5472
EDGE=FALL pulse_us=118416
EDGE=RISE gap_us=3600
EDGE=FALL pulse_us=3024
EDGE=RISE gap_us=16800
EDGE=FALL pulse_us=3984
EDGE=RISE gap_us=7200
EDGE=FALL pulse_us=117248
EDGE=RISE gap_us=3408
EDGE=FALL pulse_us=4048
EDGE=RISE gap_us=17056
EDGE=FALL pulse_us=3440
EDGE=RISE gap_us=5712
EDGE=FALL pulse_us=118896
EDGE=RISE gap_us=23424
EDGE=FALL pulse_us=4048
EDGE=RISE gap_us=6576
EDGE=FALL pulse_us=117472
EDGE=RISE gap_us=2864
EDGE=FALL pulse_us=4160
EDGE=RISE gap_us=17056
EDGE=FALL pulse_us=4048
EDGE=RISE gap_us=6448
EDGE=FALL pulse_us=125504
EDGE=RISE gap_us=16672
EDGE=FALL pulse_us=3520
EDGE=RISE gap_us=6128
EDGE=FALL pulse_us=125760
EDGE=RISE gap_us=15408
EDGE=FALL pulse_us=4688
EDGE=RISE gap_us=6800
EDGE=FALL pulse_us=118000
EDGE=RISE gap_us=3392
EDGE=FALL pulse_us=3584
EDGE=RISE gap_us=17920
EDGE=FALL pulse_us=3184
EDGE=RISE gap_us=5728
EDGE=FALL pulse_us=126400
EDGE=RISE gap_us=16416
EDGE=FALL pulse_us=3648
EDGE=RISE gap_us=6784
EDGE=FALL pulse_us=117936
EDGE=RISE gap_us=3184
EDGE=FALL pulse_us=5648
EDGE=RISE gap_us=16624
EDGE=FALL pulse_us=4256
EDGE=RISE gap_us=8832
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=13104
EDGE=FALL pulse_us=57984
EDGE=RISE gap_us=14752
EDGE=FALL pulse_us=15088
EDGE=RISE gap_us=10384
