---- summary ----
edges=332 dropped=0
pulse_us  min=320 max=121168 avg=33853
gap_short_us (twin gap, <5000) min=176 max=4992
gap_long_us  (rev gap, >=5000) min=5008 max=22224
-----------------
noise canceler OFF
EDGE=FALL pulse_us=606331584
EDGE=RISE gap_us=4592
EDGE=FALL pulse_us=46912
EDGE=RISE gap_us=10416
EDGE=FALL pulse_us=1968
EDGE=RISE gap_us=1232
EDGE=FALL pulse_us=42704
EDGE=RISE gap_us=2800
EDGE=FALL pulse_us=7360
EDGE=RISE gap_us=17968
EDGE=FALL pulse_us=6112
EDGE=RISE gap_us=6976
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8592
EDGE=FALL pulse_us=36496
EDGE=RISE gap_us=2912
EDGE=FALL pulse_us=5792
EDGE=RISE gap_us=15696
EDGE=FALL pulse_us=5984
EDGE=RISE gap_us=6160
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=8672
EDGE=FALL pulse_us=32608
EDGE=RISE gap_us=2688
EDGE=FALL pulse_us=3680
EDGE=RISE gap_us=16048
EDGE=FALL pulse_us=7552
EDGE=RISE gap_us=7712
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=6800
EDGE=FALL pulse_us=31776
EDGE=RISE gap_us=3280
EDGE=FALL pulse_us=3760
EDGE=RISE gap_us=20208
EDGE=FALL pulse_us=3968
EDGE=RISE gap_us=6144
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=5024
EDGE=FALL pulse_us=35616
EDGE=RISE gap_us=2432
EDGE=FALL pulse_us=6352
EDGE=RISE gap_us=18336
EDGE=FALL pulse_us=3312
EDGE=RISE gap_us=6176
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=9056
EDGE=FALL pulse_us=31552
EDGE=RISE gap_us=2640
EDGE=FALL pulse_us=3920
EDGE=RISE gap_us=20208
EDGE=FALL pulse_us=3872
EDGE=RISE gap_us=6832
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=7200
EDGE=FALL pulse_us=34528
EDGE=RISE gap_us=3152
EDGE=FALL pulse_us=5072
EDGE=RISE gap_us=11888
EDGE=FALL pulse_us=3648
EDGE=RISE gap_us=2032
EDGE=FALL pulse_us=3904
EDGE=RISE gap_us=5952
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=5904
EDGE=FALL pulse_us=44944
EDGE=RISE gap_us=16976
EDGE=FALL pulse_us=3712
EDGE=RISE gap_us=6720
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=4720
EDGE=FALL pulse_us=36688
EDGE=RISE gap_us=2128
EDGE=FALL pulse_us=5808
EDGE=RISE gap_us=17376
EDGE=FALL pulse_us=5120
EDGE=RISE gap_us=7568
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=6640
