---- summary ----
edges=994 dropped=0
pulse_us  min=16 max=606331584 avg=1810930
gap_short_us (twin gap, <5000) min=176 max=4992
gap_long_us  (rev gap, >=5000) min=5008 max=29456
-----------------
noise canceler OFF
noise canceler ON
EDGE=FALL pulse_us=126526400
EDGE=RISE gap_us=2256
EDGE=FALL pulse_us=13808
EDGE=RISE gap_us=304
EDGE=FALL pulse_us=880
EDGE=RISE gap_us=576
EDGE=FALL pulse_us=1200
EDGE=RISE gap_us=2304
EDGE=FALL pulse_us=6032
EDGE=RISE gap_us=1136
EDGE=FALL pulse_us=2736
EDGE=RISE gap_us=656
EDGE=FALL pulse_us=1184
EDGE=RISE gap_us=544
EDGE=FALL pulse_us=18096
EDGE=RISE gap_us=1168
EDGE=FALL pulse_us=5264
EDGE=RISE gap_us=12720
EDGE=FALL pulse_us=65200
EDGE=RISE gap_us=6384
EDGE=FALL pulse_us=43344
EDGE=RISE gap_us=2192
EDGE=FALL pulse_us=6672
EDGE=RISE gap_us=14480
EDGE=FALL pulse_us=8896
EDGE=RISE gap_us=6704
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=5168
EDGE=FALL pulse_us=35856
EDGE=RISE gap_us=2976
EDGE=FALL pulse_us=6512
EDGE=RISE gap_us=16608
EDGE=FALL pulse_us=4544
EDGE=RISE gap_us=6080
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7264
EDGE=FALL pulse_us=30240
EDGE=RISE gap_us=3168
EDGE=FALL pulse_us=7168
EDGE=RISE gap_us=12384
EDGE=FALL pulse_us=7968
EDGE=RISE gap_us=6208
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=2080
EDGE=FALL pulse_us=2208
EDGE=RISE gap_us=2064
EDGE=FALL pulse_us=31072
EDGE=RISE gap_us=3376
EDGE=FALL pulse_us=1952
EDGE=RISE gap_us=0
EDGE=FALL pulse_us=880
EDGE=RISE gap_us=0
EDGE=FALL pulse_us=3696
EDGE=RISE gap_us=592
EDGE=FALL pulse_us=0
EDGE=RISE gap_us=15968
EDGE=FALL pulse_us=4128
EDGE=RISE gap_us=6256
��������{�=�������Q�atvr_logger — VR conditioner output capture, no ignition logic
wire conditioner output -> pin 48 (ICP5), common ground required
p=stats r=reset n=toggle noise canceler
EDGE=FALL pulse_us=4224
EDGE=RISE gap_us=6480
EDGE=FALL pulse_us=1936
EDGE=RISE gap_us=17296
EDGE=FALL pulse_us=3840
EDGE=RISE gap_us=7136
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=7616
EDGE=FALL pulse_us=39744
EDGE=RISE gap_us=15584
EDGE=FALL pulse_us=5488
EDGE=RISE gap_us=5824
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=4224
EDGE=FALL pulse_us=43968
EDGE=RISE gap_us=15456
EDGE=FALL pulse_us=6176
EDGE=RISE gap_us=6640
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=2112
EDGE=FALL pulse_us=36848
EDGE=RISE gap_us=3072
EDGE=FALL pulse_us=4464
EDGE=RISE gap_us=16928
EDGE=FALL pulse_us=5536
EDGE=RISE gap_us=6544
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=4976
EDGE=FALL pulse_us=32992
EDGE=RISE gap_us=3120
EDGE=FALL pulse_us=5856
EDGE=RISE gap_us=13152
EDGE=FALL pulse_us=8128
EDGE=RISE gap_us=5584
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=7424
EDGE=FALL pulse_us=31216
EDGE=RISE gap_us=2560
EDGE=FALL pulse_us=4752
EDGE=RISE gap_us=15696
EDGE=FALL pulse_us=6848
EDGE=RISE gap_us=6096
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=6304
EDGE=FALL pulse_us=31984
EDGE=RISE gap_us=25424
EDGE=FALL pulse_us=4336
EDGE=RISE gap_us=6432
EDGE=FALL pulse_us=84064
EDGE=RISE gap_us=6384
EDGE=FALL pulse_us=32032
EDGE=RISE gap_us=3536
EDGE=FALL pulse_us=4544
EDGE=RISE gap_us=14960
EDGE=FALL pulse_us=7184
EDGE=RISE gap_us=5952
EDGE=FALL pulse_us=84080
EDGE=RISE gap_us=3952
EDGE=FALL pulse_us=35072
